Order,type,indicator,filename,filename_old,url,download_code
1,data,Algal Toxin,nla2012_algaltoxins_08192016.csv,nla2012_algaltoxins_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv,"a1<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv');write.table(a1,paste(kali,'nla2012_algaltoxins_08192016.csv',sep=''),row.names=F,sep=',')"
2,metadata,Algal Toxin,nla2012_algaltoxins_meta_08192016.csv,nla2012_algaltoxins_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_meta_08192016.txt,"a2<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_meta_08192016.txt',sep='\t', header=TRUE);write.table(a2,paste(kali,'nla2012_algaltoxins_meta_08192016.csv',sep=''),row.names=F,sep=',')"
3,data,Atrazine,nla2012_atrazine_08192016.csv,nla2012_atrazine_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv,"a3<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv');write.table(a3,paste(kali,'nla2012_atrazine_08192016.csv',sep=''),row.names=F,sep=',')"
4,metadata,Atrazine,nla2012_atrazine_meta_08192016.csv,nla2012_atrazine_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_meta_08192016.txt,"a4<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_meta_08192016.txt',sep='\t', header=TRUE);write.table(a4,paste(kali,'nla2012_atrazine_meta_08192016.csv',sep=''),row.names=F,sep=',')"
5,data,Benthic Macroinvertebrates,nla2012_bentcond_08232016.csv,nla2012_bentcond_08232016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv,"a5<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv');write.table(a5,paste(kali,'nla2012_bentcond_08232016.csv',sep=''),row.names=F,sep=',')"
6,metadata,Benthic Macroinvertebrates,nla2012_bentcond_meta_08232016.csv,nla2012_bentcond_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_meta_08232016.txt,"a6<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_meta_08232016.txt',sep='\t', header=TRUE);write.table(a6,paste(kali,'nla2012_bentcond_meta_08232016.csv',sep=''),row.names=F,sep=',')"
7,data,Benthic Macroinvertebrates,nla2012_bentmet.csv,nla2012_bentmet.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv,"a7<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv');write.table(a7,paste(kali,'nla2012_bentmet.csv',sep=''),row.names=F,sep=',')"
8,metadata,Benthic Macroinvertebrates,nla2012_bentmet_meta.csv,nla2012_bentmet_meta.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet_meta.txt,"a8<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet_meta.txt',sep='\t', header=TRUE);write.table(a8,paste(kali,'nla2012_bentmet_meta.csv',sep=''),row.names=F,sep=',')"
9,data,Benthic Macroinvertebrates,nla2012_benttaxa_wide_10272015.csv,nla2012_benttaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv,"a9<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv');write.table(a9,paste(kali,'nla2012_benttaxa_wide_10272015.csv',sep=''),row.names=F,sep=',')"
10,metadata,Benthic Macroinvertebrates,nla2012_benttaxa_wide_meta_10272015.csv,nla2012_benttaxa_wide_meta_10272015.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_meta_10272015.txt,"a10<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_meta_10272015.txt',sep='\t', header=TRUE);write.table(a10,paste(kali,'nla2012_benttaxa_wide_meta_10272015.csv',sep=''),row.names=F,sep=',')"
