"SAMPLE_TYPE","DATA_COLUMN","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS","filename_short","order","DESCRIPTION"
"DESIGN","AGGR_ECO3_2015","EHIGH|PLNLOW|WMTNS","NA","NA",NA,"algaltoxins",1,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"DESIGN","AGGR_ECO9_2015","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER","NA","NA",NA,"algaltoxins",1,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"DESIGN","STATE",NA,"NA","NA",NA,"algaltoxins",1,"State lake is assigned to for sampling in NLA 2012"
"VERIF","DATE_COL",NA,"NA","NA","None","algaltoxins",1,"Date of sample collection"
"VERIF","SITE_ID",NA,"NA","NA",NA,"algaltoxins",1,"Identification code for site"
"VERIF","VISIT_NO","|1|2","NA","NA",NA,"algaltoxins",1,"Sequential number of visit to site"
"MICL","MICL_MDL",NA,"NA","NA","ug/L","algaltoxins",1,"Minimum detection limit of analyte for Littoral Microcystin"
"MICL","MICL_DATE_RECEIVED",NA,"NA","NA",NA,"algaltoxins",1,"Date sample received by laboratory for Littoral Microcystin"
"MICL","MICL_HOLDING_TIME",NA,"NA","NA",NA,"algaltoxins",1,"Sample holding time for Littoral Microcystin"
"MICL","MICL_BATCH_ID",NA,"NA","NA",NA,"algaltoxins",1,"Batch ID from lab for Littoral Microcystin"
"MICL","MICL_FLAG",NA,"NA","NA",NA,"algaltoxins",1,"Flag for Littoral Microcystin"
"MICL","MICL_QA_FLAG",NA,"NA","NA",NA,"algaltoxins",1,"QA flag associated with sample for Littoral Microcystin"
"MICL","MICL_SAMPLE_ID",NA,"NA","NA",NA,"algaltoxins",1,"ID for sample collected for Littoral Microcystin"
"MICL","MICL_RL",NA,"NA","NA","ug/L","algaltoxins",1,"Reporting limit for Littoral Microcystin"
"MICL","MICL_UNITS",NA,"NA","NA",NA,"algaltoxins",1,"Units for Littoral Microcystin"
"MICL","MICL_DATE_ANALYZED",NA,"NA","NA",NA,"algaltoxins",1,"Date of sample analysis for Littoral Microcystin"
"MICL","MICL_RESULT",NA,"NA","NA","ug/L","algaltoxins",1,"Analyte value for Littoral Microcystin"
"MICX","MICX_DATE_RECEIVED",NA,"NA","NA",NA,"algaltoxins",1,"Date sample received by laboratory for X-site Microcystin"
"MICX","MICX_MDL",NA,"NA","NA","ug/L","algaltoxins",1,"Minimum detection limit of analyte for X-site Microcystin"
"MICX","MICX_RESULT",NA,"NA","NA","ug/L","algaltoxins",1,"Analyte value for X-site Microcystin"
