"dataset","field","units","description"
"algaltoxins","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"algaltoxins","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"algaltoxins","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"algaltoxins","DATE_COL",NA,"Date of sample collection"
"algaltoxins","SITE_ID",NA,"Identification code for site"
"algaltoxins","VISIT_NO",NA,"Sequential number of visit to site"
"algaltoxins","MICL_MDL","ug/L","Minimum detection limit of analyte for Littoral Microcystin"
"algaltoxins","MICL_DATE_RECEIVED",NA,"Date sample received by laboratory for Littoral Microcystin"
"algaltoxins","MICL_HOLDING_TIME",NA,"Sample holding time for Littoral Microcystin"
"algaltoxins","MICL_BATCH_ID",NA,"Batch ID from lab for Littoral Microcystin"
"algaltoxins","MICL_FLAG",NA,"Flag for Littoral Microcystin"
"algaltoxins","MICL_QA_FLAG",NA,"QA flag associated with sample for Littoral Microcystin"
"algaltoxins","MICL_SAMPLE_ID",NA,"ID for sample collected for Littoral Microcystin"
"algaltoxins","MICL_RL","ug/L","Reporting limit for Littoral Microcystin"
"algaltoxins","MICL_UNITS",NA,"Units for Littoral Microcystin"
"algaltoxins","MICL_DATE_ANALYZED",NA,"Date of sample analysis for Littoral Microcystin"
"algaltoxins","MICL_RESULT","ug/L","Analyte value for Littoral Microcystin"
"algaltoxins","MICX_DATE_RECEIVED",NA,"Date sample received by laboratory for X-site Microcystin"
"algaltoxins","MICX_MDL","ug/L","Minimum detection limit of analyte for X-site Microcystin"
"algaltoxins","MICX_RESULT","ug/L","Analyte value for X-site Microcystin"
"algaltoxins","MICX_HOLDING_TIME",NA,"Sample holding time for X-site Microcystin"
"algaltoxins","MICX_RL","ug/L","Reporting limit for X-site Microcystin"
"algaltoxins","MICX_QA_FLAG",NA,"QA flag associated with sample for X-site Microcystin"
"algaltoxins","MICX_DATE_ANALYZED",NA,"Date of sample analysis for X-site Microcystin"
"algaltoxins","MICX_UNITS",NA,"Units for X-site Microcystin"
"algaltoxins","MICX_SAMPLE_ID",NA,"ID for sample collected for X-site Microcystin"
"algaltoxins","MICX_FLAG",NA,"Flag for X-site Microcystin"
"algaltoxins","MICX_BATCH_ID",NA,"Batch ID from lab for X-site Microcystin"
"algaltoxins","UID",NA,"Unique identifier for sampling event"
"algaltoxins","ECO_BIO",NA,"Bioregions"
"algaltoxins","PUBLICATION_DATE",NA,"Publication Date"
"algaltoxins","LAB",NA,"Lab name"
