type,indicator,dataset,filename,filename_old,url
data,algal_toxin,algaltoxins,nla2012_algaltoxins_08192016.csv,nla2012_algaltoxins_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv
metadata,algal_toxin,algaltoxins,nla2012_algaltoxins_meta_08192016.csv,nla2012_algaltoxins_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_meta_08192016.txt
data,atrazine,atrazine,nla2012_atrazine_08192016.csv,nla2012_atrazine_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv
metadata,atrazine,atrazine,nla2012_atrazine_meta_08192016.csv,nla2012_atrazine_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_meta_08192016.txt
data,benthic_macroinvertebrates,bentcond,nla2012_bentcond_08232016.csv,nla2012_bentcond_08232016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv
metadata,benthic_macroinvertebrates,bentcond,nla2012_bentcond_meta_08232016.csv,nla2012_bentcond_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_meta_08232016.txt
data,benthic_macroinvertebrates,bentmet,nla2012_bentmet.csv,nla2012_bentmet.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv
metadata,benthic_macroinvertebrates,bentmet,nla2012_bentmet_meta.csv,nla2012_bentmet_meta.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet_meta.txt
data,benthic_macroinvertebrates,benttaxa,nla2012_benttaxa_wide_10272015.csv,nla2012_benttaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv
metadata,benthic_macroinvertebrates,benttaxa,nla2012_benttaxa_wide_meta_10272015.csv,nla2012_benttaxa_wide_meta_10272015.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_meta_10272015.txt
data,chlorophyll-a,chla,nla2012_chla_wide.csv,nla2012_chla_wide.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide.csv
metadata,chlorophyll-a,chla,nla2012_chla_wide_meta.csv,nla2012_chla_wide_meta.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide_meta.txt
data,condition_category,condition,nla_2012_condition_categories.csv,nla_2012_condition_categories.csv,https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories.csv
metadata,condition_category,condition,nla_2012_condition_categories_meta.csv,nla_2012_condition_categories_meta.csv,https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories_meta.csv
data,phytoplankton,phytocnt,nla2012_phytocnt_02122014.csv,nla2012_phytocnt_02122014.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytocnt_02122014.csv
metadata,phytoplankton,phytotaxa,SEE: nla2012_phytotaxa_wide_meta_10272015.csv,SEE: nla2012_phytotaxa_wide_meta_10272015.txt,
data,phytoplankton,phytotaxa,nla2012_phytotaxa_wide_10272015.csv,nla2012_phytotaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_10272015.csv
metadata,phytoplankton,phytotaxa,nla2012_phytotaxa_wide_meta_10272015.csv,nla2012_phytotaxa_wide_meta_10272015.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_meta_10272015.txt
data,secchi,secchi,nla2012_secchi_08232016.csv,nla2012_secchi_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_08232016.csv
metadata,secchi,secchi,nla2012_secchi_meta_08232016.csv,nla2012_secchi_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_meta_08232016.txt
data,sediment,topsedhg,nla2012_topsedhg_08192016.csv,nla2012_topsedhg_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_08192016.csv
metadata,sediment,topsedhg,nla2012_topsedhg_meta_08192016.csv,nla2012_topsedhg_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_meta_08192016.txt
