survey,indicator,dataset,data,metadata,csv_data,csv_meta
nla2007,Landuse,buffer_landuse,"NLA 2007 Buffer Landuse Metrics - Data 20091022 (CSV)(1 pg, 273 K)","NLA 2007 Buffer Landuse Metrics - Metadata 20091022 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Water Chemistry,condition_chem,"NLA 2007 Chemical Condition Estimates - Data 20091123 (CSV)(1 pg, 537 K)","NLA 2007 Chemical Condition Estimates - Metadata 20091123 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Dissolved Oxygen,condition_do,"NLA 2007 Mean DO Condition Estimate - Data 20091123 (CSV)(1 pg, 366 K)","NLA 2007 Mean DO Condition Estimate - Metadata 20091123 (TXT)(1 pg, 3 K)",TRUE,FALSE
nla2007,Benthic Macroinvertebrates,condition_macroinvert,"NLA 2007 Benthic Condition - Data (CSV)(1 pg, 119 K)","NLA 2007 Benthic Condition - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2007,Physical Habitat,condition_phab,"NLA 2007 PHab Condition Estimates - Data 20091130 (CSV)(1 pg, 519 K)","NLA 2007 PHab Condition Estimates - Metadata 20091130 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Plankton,condition_plank_oe_model,"NLA 2007 Plankton O/E Model Condition Estimates 20091125 (CSV)(1 pg, 442 K)","NLA 2007 Plankton O/E Model Condition Estimates - Metadata 20091125 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Recreation,condition_recreation,"NLA 2007 Recreational Condition Estimates 20091123 (CSV)(1 pg, 517 K)","NLA 2007 Recreational Condition Estimates - Metadata 20091123 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Trophic Status,condition_trophic,"NLA 2007 Trophic Condition Estimate - Data 20091123 (CSV)(1 pg, 522 K)","NLA 2007 Trophic Condition Estimate - Metadata 20091123 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Dissolved Oxygen,do_2m,"NLA 2007 Mean DO - Data 20091007 (CSV)(1 pg, 31 K)","NLA 2007 Mean DO - Metadata 20091007 (RXT)(1 pg, 198 B)",TRUE,FALSE
nla2007,Landuse,landuse,"NLA 2007 Basin Landuse Metrics - Data 20061022 (CSV)(1 pg, 307 K)","NLA 2007 Basin Landuse Metrics - Metadata 20091022 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Benthic Macroinvertebrates,macroinvert_count,"NLA 2007 Benthic Count - Data (CSV)(1 pg, 7 MB)","NLA 2007 Benthic Count - Metadata (TXT)(1 pg, 2 K)",TRUE,FALSE
nla2007,Benthic Macroinvertebrates,macroinvert_metrics,"NLA 2007 Benthic Metrics - Data (CSV)(1 pg, 749 K)","NLA 2007 Benthic Metrics - Metadata (TXT)(1 pg, 13 K)",TRUE,FALSE
nla2007,Physical Habitat,phab_index,"NLA 2007 PHab Index Values - Data (CSV)(1 pg, 722 K)","NLA 2007 PHab Index Values - Metadata 20091120 (TXT)(1 pg, 6 K)",TRUE,FALSE
nla2007,Physical Habitat,phab_metrics_a,"NLA 2007 PHab Metrics A - Data (CSV)(1 pg, 1 MB)","NLA 2007 PHab Metrics - Metadata 20091120 (TXT)(1 pg, 38 K)",TRUE,FALSE
nla2007,Physical Habitat,phab_metrics_b,"NLA 2007 Phab Metrics B - Data (CSV)(1 pg, 2 MB)","NLA 2007 PHab Metrics - Metadata 20091120 (TXT)(1 pg, 38 K)",TRUE,FALSE
