usgs_id,site_ID,sample_id,visit_id,visit_no,sample_category,cylindrospermopsin,microcystin,saxitoxin
MM-09934A,NLA06608-0203,513393,7660,1,P,0,0,0
MM-09302A,NLA06608-0283,505873,7716,1,P,0,0,0
MM-09178A,NLA06608-0395,505993,7779,1,P,0,0,0
MM-09433A,NLA06608-0459,507703,7811,1,P,0,0.33,0
MM-09573A,NLA06608-0618,507383,7900,1,P,0,0,0
MM-09434A,NLA06608-0651,507373,7919,1,P,0,0,0
MM-09435A,NLA06608-0843,507253,8019,1,P,0,0,0
MM-09175A,NLA06608-1323,505843,8253,1,P,0,0,0
MM-09436A,NLA06608-1871,507273,8467,1,P,0,0,0
MM-09176A,NLA06608-2091,515193,8516,1,P,0,0,0
MM-09572A,NLA06608-2154,506903,8533,1,P,0,0,0
MM-09303A,NLA06608-2187,505983,8539,1,P,0,0,0
MM-09933A,NLA06608-2831,513373,8625,1,P,0,0,0
MM-09177A,NLA06608-2955,506043,8636,1,P,0,0,0
MM-11304A,NLA06608-0080,517203,7570,1,P,0,0,0
MM-11305A,NLA06608-0080,516263,7571,2,P,0,0,0
MM-11306A,NLA06608-0080,516383,7571,2,D,0,0,0
MM-11303A,NLA06608-0176,516273,7641,1,P,0,0,0
MM-11302A,NLA06608-0208,518183,7664,1,P,0,1.5,0
MM-11301A,NLA06608-0436,516633,7798,1,P,0,0,0
MM-11440A,NLA06608-0500,507963,7837,1,P,0,0,0
MM-11043A,NLA06608-1204,516483,8198,1,P,0,0.27,0
MM-11024A,NLA06608-1288,516493,8243,1,P,0,0,0
MM-11022A,NLA06608-1484,517783,8333,1,P,0,0,0
MM-11438A,NLA06608-1808,503763,8445,1,P,0,0,0
MM-11439A,NLA06608-2076,503773,8510,1,P,0,0,0
MM-09119A,NLA06608-0061,502433,7541,1,P,0,0,0
MM-09126A,NLA06608-0061,502713,7541,1,P,0,0,0
MM-11524A,NLA06608-0061,509573,7542,2,P,0.14,0,0
MM-09912A,NLA06608-0127,505603,7607,1,P,0,0,0
MM-11527A,NLA06608-0130,511963,7612,1,P,0,0,0
MM-11522A,NLA06608-0132,511123,7613,1,P,0,0,0
MM-11526A,NLA06608-0569,509873,7872,1,P,0,1,0
MM-09118A,NLA06608-0617,505913,7899,1,P,0,0,0
MM-09117A,NLA06608-0770,502453,7980,1,P,0,0,0
MM-09910A,NLA06608-0809,504373,8000,1,P,0,0,0
MM-09121A,NLA06608-0834,502593,8015,1,P,0.26,0,0
MM-11528A,NLA06608-0836,511443,8016,1,P,0,0,0
MM-09120A,NLA06608-0873,505793,8039,1,P,0,0,0
MM-11529A,NLA06608-0877,509023,8042,1,P,4.4,0,0.02
MM-09911A,NLA06608-0895,514743,8051,1,P,0,0,0
MM-09125A,NLA06608-1129,502703,8164,1,P,0,0,0
MM-09908A,NLA06608-1151,505833,8175,1,P,0,0,0
MM-09909A,NLA06608-1577,502443,8369,1,P,0,0,0
MM-11525A,NLA06608-1593,513893,8374,1,P,0,0,0
MM-09123A,NLA06608-1602,502533,8378,1,P,0,0,0
MM-09124A,NLA06608-1641,505773,8390,1,P,0,0,0
MM-09122A,NLA06608-2217,502483,8542,1,P,0,0,0
MM-11523A,NLA06608-2372,511763,8563,1,P,0,0,0
MM-12534A,NLA06608-0137,508323,7615,1,P,0,0,0
MM-11188A,NLA06608-0173,508073,7637,1,P,0,0.36,0
MM-12535A,NLA06608-0181,517903,7646,1,P,0,0.13,0
MM-12536A,NLA06608-0201,516613,7658,1,P,0,0,0
MM-11194A,NLA06608-0245,507343,7699,1,P,0,0,0
MM-11190A,NLA06608-0373,504833,7768,1,P,0,0,0
MM-11192A,NLA06608-0393,507143,7778,1,P,0,0,0
MM-11193A,NLA06608-0501,507163,7838,1,P,0,0,0
MM-11191A,NLA06608-0565,507513,7871,1,P,0,0,0
MM-12537A,NLA06608-0649,515523,7917,1,P,0,0,0
MM-11195A,NLA06608-0693,507353,7941,1,P,0,0,0
MM-12538A,NLA06608-0713,507763,7948,1,P,0,0,0
MM-11189A,NLA06608-0885,508053,8046,1,P,0,0,0
MM-11186A,NLA06608-1141,505013,8168,1,P,0,0,0
MM-12539A,NLA06608-1269,508333,8233,1,P,0,0.26,0
MM-11187A,NLA06608-1397,510343,8296,1,P,0,0.13,0
MM-12540A,NLA06608-1417,511303,8304,1,P,0,0,0
MM-12541A,NLA06608-1461,516623,8322,1,P,0,0,0
MM-12542A,NLA06608-1481,511293,8330,1,P,0,0,0
MM-12543A,NLA06608-1717,517893,8414,1,P,0,0,0
MM-12544A,NLA06608-1781,515463,8435,1,P,0,0,0
MM-10635A,NLA06608-0004,508553,7473,1,P,0,0,0
MM-11891A,NLA06608-0004,503313,7474,2,P,0,0,0
MM-11890A,NLA06608-0004,508533,7474,2,D,0,0,0
MM-10634A,NLA06608-0068,508563,7552,1,P,0,0,0
MM-11893A,NLA06608-0068,513093,7553,2,P,0,0,0
MM-11892A,NLA06608-0068,513113,7553,2,D,0,0,0
MM-10628A,NLA06608-0079,508583,7568,1,P,0,0,0
MM-11884A,NLA06608-0079,502123,7569,2,P,0,0,0
MM-11883A,NLA06608-0079,503723,7569,2,D,0,0,0
MM-10625A,NLA06608-0228,502283,7683,1,P,0,0,0
MM-10649A,NLA06608-0228,504883,7684,2,P,0,0.11,0
MM-10632A,NLA06608-0228,502293,7683,1,D,0,0,0
MM-10640A,NLA06608-0276,507033,7710,1,P,0,0,0
MM-10651A,NLA06608-0372,502033,7767,1,P,0,0,0
MM-10629A,NLA06608-0452,502233,7806,1,P,0,0,0
MM-10641A,NLA06608-0468,510643,7816,1,P,0,0,0
MM-11889A,NLA06608-0495,513833,7833,1,P,0,0,0
MM-11888A,NLA06608-0511,512203,7845,1,P,0,0,0
MM-10645A,NLA06608-0596,512953,7889,1,P,0,0,0
MM-11886A,NLA06608-0635,513823,7912,1,P,0,0,0
MM-10650A,NLA06608-0687,511853,7937,1,P,0,0,0
MM-10631A,NLA06608-0715,504873,7949,1,P,0,0,0
MM-10633A,NLA06608-0827,504893,8010,1,P,0,0,0
MM-10637A,NLA06608-0864,503323,8032,1,P,0,0,0.05
MM-10644A,NLA06608-0880,512943,8044,1,P,0,0,0
MM-10638A,NLA06608-0916,512963,8060,1,P,0,0,0
MM-10630A,NLA06608-1083,503303,8141,1,P,0,3.2,0
MM-10648A,NLA06608-1147,507553,8172,1,P,0,7.5,0
MM-11887A,NLA06608-1339,505063,8262,1,P,0,0,0.06
MM-10636A,NLA06608-1403,505123,8300,1,P,0,0,0
MM-10646A,NLA06608-1455,511873,8320,1,P,0,0,0
MM-10627A,NLA06608-1476,502273,8329,1,P,0,0,0
MM-10642A,NLA06608-1483,510663,8332,1,P,0,0,0
MM-10626A,NLA06608-1595,502303,8375,1,P,0,0,0
MM-10639A,NLA06608-1675,508593,8399,1,P,0,0,0.02
MM-10643A,NLA06608-1739,513303,8421,1,P,0,0,0
MM-10647A,NLA06608-1748,507443,8425,1,P,0,0,0
MM-11885A,NLA06608-1851,505073,8458,1,P,0,0,0
MM-10029A,NLA06608-0006,508843,7477,1,P,0,0.18,0
MM-11579A,NLA06608-0006,510043,7478,2,P,0,0.48,0
MM-11578A,NLA06608-0006,513973,7478,2,D,0,0.57,0
MM-10028A,NLA06608-0037,508833,7516,1,P,0,0.14,0
MM-11581A,NLA06608-0037,516693,7517,2,P,0,0.11,0
MM-11580A,NLA06608-0037,517833,7517,2,D,0,0,0
MM-11575A,NLA06608-0101,512223,7588,1,P,0,0,0
MM-10031A,NLA06608-0134,508133,7614,1,P,0,0,0
MM-10034A,NLA06608-0242,513533,7696,1,P,0,0,0
MM-10032A,NLA06608-0293,508823,7723,1,P,0,0,0
MM-11574A,NLA06608-0326,509823,7739,1,P,0,0,0
MM-10033A,NLA06608-0498,512213,7836,1,P,0,0,0
MM-10030A,NLA06608-0582,508143,7878,1,P,0,0,0.02
MM-11576A,NLA06608-0805,509353,7996,1,P,0,0,0
MM-11573A,NLA06608-0946,509103,8078,1,P,0,0,0
MM-11572A,NLA06608-1010,513013,8112,1,P,0,0.58,0
MM-11571A,NLA06608-1125,513253,8163,1,P,0,0,0
MM-11577A,NLA06608-1414,509093,8303,1,P,0,0,0
MM-09355A,NLA06608-0029,505093,7508,1,P,0,0.17,0
MM-11517A,NLA06608-0029,505133,7509,2,P,0,0,0
MM-11518A,NLA06608-0029,505353,7509,2,D,0,0,0
MM-11516A,NLA06608-0141,505343,7618,1,P,0,0.1,0.05
MM-09939A,NLA06608-0285,504583,7718,1,P,0,0.19,0
MM-09354A,NLA06608-0717,514423,7950,1,P,0,0.9,0
MM-09940A,NLA06608-1421,510323,8306,1,P,0,0.13,0.03
MM-09356A,NLA06608-1741,505083,8423,1,P,0,2,0
MM-09357A,NLA06608-2253,505113,8547,1,P,0,0,0
MM-09938A,NLA06608-2333,503683,8558,1,P,0,0,0
MM-09613A,NLA06608-0069,507323,7554,1,P,0,0,0
MM-11601A,NLA06608-0069,511273,7555,2,P,0,0,0
MM-11600A,NLA06608-0069,512393,7555,2,D,0,0,0
MM-10664A,NLA06608-0161,513683,7629,1,P,0,0,0
MM-09612A,NLA06608-0325,507853,7738,1,P,0,0.4,0
MM-09958A,NLA06608-0453,507183,7807,1,P,0,0,0
MM-09941A,NLA06608-0609,502043,7894,1,P,0,6.3,0
MM-11550A,NLA06608-0709,507863,7944,1,P,0,3.6,0
MM-11380A,NLA06608-0865,511743,8033,1,P,0,0.75,0
MM-10665A,NLA06608-1185,502053,8191,1,P,0.05,0.35,0
MM-10869A,NLA06608-1349,512573,8268,1,P,0.12,0.19,0.02
MM-09339A,NLA06608-1413,503123,8302,1,P,0,0.47,0
MM-10663A,NLA06608-1569,502063,8365,1,P,0,0,0
MM-09340A,NLA06608-1733,503113,8418,1,P,0,1.3,0
MM-11378A,NLA06608-1825,511493,8452,1,P,0,0,0
MM-09957A,NLA06608-1861,507193,8461,1,P,0,0,0
MM-08961A,NLA06608-2074,503103,8509,1,P,0,2.6,0
MM-11599A,NLA06608-2117,503183,8526,1,P,0,0.43,0
MM-10868A,NLA06608-2565,513653,8588,1,P,0,0,0
MM-09942A,NLA06608-2593,502023,8591,1,P,0.05,0.16,0
MM-09338A,NLA06608-2629,503173,8596,1,P,0.06,0.16,0.07
MM-11379A,NLA06608-2657,513663,8601,1,P,0.07,0,0.02
MM-10867A,NLA06608-3169,511923,8649,1,P,0,0,0
MM-10048A,NLA06608-FL:107895579,513803,8817,1,P,0.06,0,0
MM-10049A,NLA06608-FL:16674741,511903,8818,1,P,0,0,0
MM-10051A,NLA06608-FL:18261987,512843,8819,1,P,0,0,0
MM-10050A,NLA06608-FL:99324403,513723,8820,1,P,0,0,0
MM-10052A,NLA06608-FL:99344895,508923,8821,1,P,0,0,0
MM-09750A,NLA06608-0207,503073,7662,1,P,0,0,0
MM-11246A,NLA06608-0207,504073,7663,2,P,0,0,0
MM-11247A,NLA06608-0207,509203,7663,2,D,0,0,0
MM-12379A,NLA06608-0223,502913,7676,1,P,0,0,0
MM-11244A,NLA06608-0223,502823,7677,2,P,0,0,0
MM-11243A,NLA06608-0223,504353,7677,2,D,0,0,0
MM-10811A,NLA06608-0253,508443,7701,1,P,0,0.1,0
MM-09752A,NLA06608-0458,502883,7810,1,P,0,0.41,0
MM-10810A,NLA06608-0530,508453,7853,1,P,0.05,0.55,0.17
MM-10813A,NLA06608-0591,503043,7885,1,P,0,0.27,0
MM-10812A,NLA06608-0594,502813,7887,1,P,0,0.14,0
MM-09749A,NLA06608-0815,505333,8003,1,P,0,0,0
MM-11918A,NLA06608-0943,512783,8076,1,P,0,0,0
MM-11242A,NLA06608-1039,508003,8125,1,P,0,0.53,0
MM-09748A,NLA06608-1469,502853,8327,1,P,0,0,0
MM-09751A,NLA06608-1482,502833,8331,1,P,0,0.19,0
MM-11245A,NLA06608-1711,509293,8411,1,P,0.1,0,0
MM-11919A,NLA06608-1839,509683,8455,1,P,0,0,0
MM-12020A,NLA06608-0008,513443,7481,1,P,0,0,0.03
MM-12018A,NLA06608-0008,513933,7482,2,P,0,0,0.02
MM-12008A,NLA06608-0860,506943,8028,1,P,0,0,0
MM-12019A,NLA06608-0860,513423,8029,2,P,0,0,0
MM-12013A,NLA06608-0904,507823,8054,1,P,0,0,0
MM-12012A,NLA06608-0968,502103,8086,1,P,0,0,0
MM-12016A,NLA06608-1015,513943,8115,1,P,0,0.4,0
MM-12015A,NLA06608-1035,508043,8121,1,P,0,3.7,0
MM-12009A,NLA06608-1223,507173,8211,1,P,0,0.67,0
MM-12021A,NLA06608-1268,507503,8232,1,P,0,0.11,0
MM-12014A,NLA06608-1271,507153,8235,1,P,0,0.34,0.28
MM-12023A,NLA06608-1460,508023,8321,1,P,0,0,0
MM-12007A,NLA06608-1527,513863,8351,1,P,0,0.37,0
MM-12010A,NLA06608-1544,507533,8356,1,P,0,1.7,0
MM-12024A,NLA06608-1736,507833,8420,1,P,0,2.4,0
MM-12022A,NLA06608-1884,507523,8472,1,P,0,0.38,0
MM-12017A,NLA06608-1975,513763,8489,1,P,0,0.14,0
MM-12025A,NLA06608-2036,508033,8502,1,P,0,0.11,0
MM-12011A,NLA06608-2039,513473,8504,1,P,0,38,0
MM-12006A,NLA06608-2056,513433,8506,1,P,0,4.3,0
MM-11906A,NLA06608-R715,512653,8885,1,P,0,0.63,0
MM-11907A,NLA06608-R716,512493,8886,1,P,0,0,0
MM-09920A,NLA06608-0005,502963,7475,1,P,0,0,0
MM-10860A,NLA06608-0005,511073,7476,2,P,0,0,0
MM-10859A,NLA06608-0005,517313,7476,2,D,0,0,0
MM-09393A,NLA06608-0085,503053,7576,1,P,0,0.14,0
MM-10862A,NLA06608-0085,511463,7577,2,P,0,0,0
MM-10861A,NLA06608-0085,511733,7577,2,D,0,0,0
MM-10864A,NLA06608-0241,502993,7695,1,P,0,0,0
MM-09922A,NLA06608-0277,502973,7711,1,P,0,0,0
MM-10863A,NLA06608-0497,511843,7835,1,P,0,0,0
MM-10547A,NLA06608-0561,513753,7867,1,P,0,0,0
MM-09392A,NLA06608-0581,503023,7877,1,P,0,0,0
MM-09391A,NLA06608-0597,502893,7890,1,P,0,0,0
MM-09924A,NLA06608-0650,507043,7918,1,P,0,0,0
MM-09779A,NLA06608-0769,510923,7979,1,P,0,0.14,0
MM-09921A,NLA06608-0837,503033,8017,1,P,0,0,0
MM-09780A,NLA06608-0961,510913,8083,1,P,0,0,0
MM-09774A,NLA06608-1281,506503,8240,1,P,0,0,0
MM-10546A,NLA06608-1329,512483,8255,1,P,0,0,0
MM-09777A,NLA06608-1473,510903,8328,1,P,0,0,0
MM-10865A,NLA06608-1521,510593,8349,1,P,0,0.75,0
MM-09771A,NLA06608-1537,505613,8354,1,P,0,0,0
MM-09778A,NLA06608-1793,510273,8440,1,P,0,0,0
MM-09923A,NLA06608-1930,507203,8481,1,P,0,0,0
MM-09776A,NLA06608-1985,507743,8491,1,P,0,0,0
MM-10544A,NLA06608-1989,512683,8492,1,P,0,0,0
MM-09395A,NLA06608-2005,502953,8496,1,P,0,0,0
MM-09772A,NLA06608-2305,506063,8555,1,P,0,0,0
MM-09773A,NLA06608-2497,505673,8579,1,P,0,0,0
MM-10543A,NLA06608-2801,502003,8621,1,P,0,0,0
MM-09925A,NLA06608-2954,511863,8635,1,P,0,6.1,0
MM-10545A,NLA06608-3121,513613,8644,1,P,0,0.2,0
MM-09394A,NLA06608-3157,503013,8647,1,P,0,0,0
MM-10866A,NLA06608-3313,511053,8653,1,P,0,0,0
MM-09775A,NLA06608-3329,505633,8655,1,P,0,0,0
MM-10967A,NLA06608-R10BULLTR,515613,8853,1,P,0,0,0
