"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","BENT_COND","MMI_BENT_NLA12","COMP_PT","DIVS_PT","FEED_PT","HABT_PT","RICH_PT","TOLR_PT","TOTLNIND","PUBLICATION_DATE"
2007468,"NLA06608-0001",2007,1,"7/31/2007","WMTNS","WMTNS","WMT","Good",69.9,4.9,6.18,8,7.14,5.71,10,300,"8/23/2016"
2007469,"NLA06608-0002",2007,1,"6/14/2007","CPL","PLNLOW","CPL","Fair",52.4,10,0.79,6.47,4,5.71,4.48,300,"8/23/2016"
2007470,"NLA06608-0002",2007,2,"7/23/2007","CPL","PLNLOW","CPL","Fair",50.2,7.39,1.1,10,6,2.86,2.76,300,"8/23/2016"
2007471,"NLA06608-0003",2007,1,"8/29/2007","CPL","PLNLOW","CPL","Fair",47.1,9.56,2.54,1.76,4,4.29,6.09,300,"8/23/2016"
2007472,"NLA06608-0003",2007,2,"9/6/2007","CPL","PLNLOW","CPL","Good",61.4,8.82,4.55,2.35,4,7.14,10,300,"8/23/2016"
2007473,"NLA06608-0004",2007,1,"7/10/2007","WMTNS","WMTNS","WMT","Fair",53.5,3.02,10,6,4.29,4.29,4.52,300,"8/23/2016"
2007474,"NLA06608-0004",2007,2,"9/11/2007","WMTNS","WMTNS","WMT","Good",57.1,3.53,8.31,6,5.71,4.29,6.43,300,"8/23/2016"
2007475,"NLA06608-0005",2007,1,"7/18/2007","WMTNS","WMTNS","WMT","Fair",50.1,2.94,8.26,6,5.71,5.71,1.41,300,"8/23/2016"
2007476,"NLA06608-0005",2007,2,"8/22/2007","WMTNS","WMTNS","WMT","Good",59.3,2.99,7.7,8,5.71,4.29,6.91,204,"8/23/2016"
2007477,"NLA06608-0006",2007,1,"7/17/2007","EHIGH","EHIGH","NAP","Good",55.7,3.93,4.22,4.74,8.89,6.67,5,300,"8/23/2016"
2007478,"NLA06608-0006",2007,2,"8/30/2007","EHIGH","EHIGH","NAP","Good",75.4,7.44,7.04,8.95,8.89,6.67,6.25,300,"8/23/2016"
2007479,"NLA06608-0007",2007,1,"7/24/2007","UMW","PLNLOW","UMW","Good",82.2,9.28,10,9.17,3.64,10,7.21,300,"8/23/2016"
2007480,"NLA06608-0007",2007,2,"9/6/2007","UMW","PLNLOW","UMW","Good",70.6,8.84,10,8.06,4.55,6.67,4.25,300,"8/23/2016"
2007481,"NLA06608-0008",2007,1,"7/12/2007","PLAINS","PLNLOW","TPL","Good",50,3.36,5.15,7.65,8.7,5,0.17,300,"8/23/2016"
2007482,"NLA06608-0008",2007,2,"8/22/2007","PLAINS","PLNLOW","TPL","Good",47.3,3.87,2.69,10,6.14,5,0.68,300,"8/23/2016"
2007483,"NLA06608-0010",2007,1,"7/17/2007","UMW","PLNLOW","UMW","Good",62.2,7.49,4.79,7.85,3.64,6.67,6.92,300,"8/23/2016"
2007484,"NLA06608-0010",2007,2,"8/18/2007","UMW","PLNLOW","UMW","Good",67.2,9.28,5.31,10,4.55,6.67,4.5,300,"8/23/2016"
2007485,"NLA06608-0012",2007,1,"6/13/2007","PLAINS","PLNLOW","SPL","Good",55.1,3.88,8.48,8.82,3.51,7,1.36,300,"8/23/2016"
2007486,"NLA06608-0012",2007,2,"9/18/2007","PLAINS","PLNLOW","SPL","Fair",33.9,3.13,2.54,7.06,3.37,3,1.21,252,"8/23/2016"
2007487,"NLA06608-0013",2007,1,"9/4/2007","CPL","PLNLOW","CPL","Good",62.3,7.56,7.11,3.53,8,5.71,5.46,300,"8/23/2016"
2007488,"NLA06608-0013",2007,2,"9/14/2007","CPL","PLNLOW","CPL","Fair",49.5,9.06,1.85,1.76,6,4.29,6.72,300,"8/23/2016"
2007489,"NLA06608-0014",2007,1,"8/6/2007","PLAINS","PLNLOW","TPL","Poor",27.7,6.75,0,2.94,2.31,4,0.62,246,"8/23/2016"
2007490,"NLA06608-0014",2007,2,"8/23/2007","PLAINS","PLNLOW","TPL","Fair",34.9,7.55,0,1.76,7.4,4,0.2,255,"8/23/2016"
2007491,"NLA06608-0015",2007,1,"7/10/2007","WMTNS","WMTNS","XER","Not Assessed",NA,NA,NA,NA,NA,NA,NA,42,"8/23/2016"
2007492,"NLA06608-0015",2007,2,"8/29/2007","WMTNS","WMTNS","XER","Fair",54,1.55,10,4,8.57,5.71,2.59,276,"8/23/2016"
2007493,"NLA06608-0016",2007,1,"6/27/2007","PLAINS","PLNLOW","SPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,61,"8/23/2016"
2007494,"NLA06608-0016",2007,2,"7/11/2007","PLAINS","PLNLOW","SPL","Fair",37.1,3.69,3.92,5.29,6,3,0.34,300,"8/23/2016"
2007496,"NLA06608-0019",2007,1,"6/11/2007","PLAINS","PLNLOW","NPL","Poor",26.5,2.31,1.74,4.12,4.29,3,0.46,222,"8/23/2016"
2007497,"NLA06608-0019",2007,2,"8/7/2007","PLAINS","PLNLOW","NPL","Poor",27.2,1.26,3.7,6.47,1.56,3,0.34,300,"8/23/2016"
2007498,"NLA06608-0020",2007,1,"6/11/2007","PLAINS","PLNLOW","TPL","Good",46.4,0.83,9.22,7.65,2.31,6,1.87,300,"8/23/2016"
2007499,"NLA06608-0020",2007,2,"7/2/2007","PLAINS","PLNLOW","TPL","Fair",30,3.42,2.88,4.71,2.63,4,0.34,300,"8/23/2016"
2007500,"NLA06608-0021",2007,1,"7/27/2007","EHIGH","EHIGH","NAP","Poor",21.3,0,2.81,2.63,4.44,1.67,1.25,300,"8/23/2016"
