"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","AMPHNIND","AMPHNTAX","AMPHPIND","AMPHPTAX","BURRNIND","BURRNTAX","BURRPIND","BURRPTAX","CHIRDOM1PIND","CHIRDOM3PIND","CHIRDOM5PIND","CHIRNIND","CHIRNTAX","CHIRPIND","CHIRPTAX","CLMBNIND","CLMBNTAX","CLMBPIND","CLMBPTAX","CLNGNIND","CLNGNTAX","CLNGPIND","CLNGPTAX","COFININD","COFINTAX","COFIPIND","COFIPTAX","COFITRICNIND","COFITRICNTAX","COFITRICPIND","COFITRICPTAX","COGANIND","COGANTAX","COGAPIND","COGAPTAX","CRUSNIND","CRUSNTAX","CRUSPIND","CRUSPTAX","DIPTNIND","DIPTNTAX","DIPTPIND","DIPTPTAX","DOM1PIND","DOM3PIND","DOM5PIND","EPHENIND","EPHENTAX","EPHEPIND","EPHEPTAX","EPOTNIND","EPOTNTAX","EPOTPIND","EPOTPTAX","EPT_NIND","EPT_NTAX","EPT_PIND","EPT_PTAX","FACLNIND","FACLNTAX","FACLPIND","FACLPTAX","HEMININD","HEMINTAX","HEMIPIND","HEMIPTAX","HPRIME","INTLNIND","INTLNTAX","INTLPIND","INTLPTAX","MITENIND","MITENTAX","MITEPIND","MITEPTAX","MOLLNIND","MOLLNTAX","MOLLPIND","MOLLPTAX","NOINNIND","NOINNTAX","NOINPIND","NOINPTAX","NTOLNIND","NTOLNTAX","NTOLPIND","NTOLPTAX","ODONNIND","ODONNTAX","ODONPIND","ODONPTAX","OLLENIND","OLLENTAX","OLLEPIND","OLLEPTAX","ORTHCHIRPIND","ORTHNIND","ORTHNTAX","ORTHPIND","ORTHPTAX","PLECNIND","PLECNTAX","PLECPIND","PLECPTAX","PREDNIND","PREDNTAX","PREDPIND","PREDPTAX","SCRPNIND","SCRPNTAX","SCRPPIND","SCRPPTAX","SHRDNIND","SHRDNTAX","SHRDPIND","SHRDPTAX","SPWLNIND","SPWLNTAX","SPWLPIND","SPWLPTAX","STOLNIND","STOLNTAX","STOLPIND","STOLPTAX","SWIMNIND","SWIMNTAX","SWIMPIND","SWIMPTAX","TANYNIND","TANYNTAX","TANYPIND","TANYPTAX","TL01NIND","TL01NTAX","TL01PIND","TL01PTAX","TL23NIND","TL23NTAX","TL23PIND","TL23PTAX","TL45NIND","TL45NTAX","TL45PIND","TL45PTAX","TL67NIND","TL67NTAX","TL67PIND","TL67PTAX","TL89NIND","TL89NTAX","TL89PIND","TL89PTAX","TOLRNIND","TOLRNTAX","TOLRPIND","TOLRPTAX","TOTLNIND","TOTLNTAX","TRICNIND","TRICNTAX","TRICPIND","TRICPTAX","TUBINAIDNIND","TUBINAIDNTAX","TUBINAIDPIND","TUBINAIDPTAX","WTD_TV"
2007468,"NLA06608-0001",2007,1,"7/31/2007","WMTNS","WMTNS","WMT",69,1,23,6.25,28,2,9.33,12.5,33.33,76.52,93.94,133,9,44.33,56.25,24,1,8,6.25,42,6,14,37.5,25,2,8.33,12.5,0,0,0,0,160,10,53.33,62.5,69,1,23,6.25,133,9,44.33,56.25,24.38,55.12,75.27,1,1,0.33,6.25,72,4,24,25,72,4,24,25,154,6,51.33,37.5,0,0,0,0,2.19,53,4,17.67,25,0,0,0,0,24,1,8,6.25,95,3,31.67,18.75,194,9,64.67,56.25,0,0,0,0,2,1,0.67,6.25,45.11,60,4,20,25,58,2,19.33,12.5,59,2,19.67,12.5,11,1,3.67,6.25,126,4,42,25,226,7,75.33,43.75,26,2,8.67,12.5,0,0,0,0,13,2,4.33,12.5,47,1,15.67,6.25,34,5,11.33,31.25,113,3,37.67,18.75,25,3,8.33,18.75,26,2,8.67,12.5,38,4,12.67,25,300,16,13,1,4.33,6.25,2,1,0.67,6.25,3.71
2007469,"NLA06608-0002",2007,1,"6/14/2007","CPL","PLNLOW","CPL",0,0,0,0,151,8,50.33,22.22,61.19,92.04,96.52,201,9,67,25,81,12,27,33.33,48,5,16,13.89,2,1,0.67,2.78,0,0,0,0,185,12,61.67,33.33,0,0,0,0,207,11,69,30.56,44.57,67.03,77.54,22,2,7.33,5.56,41,8,13.67,22.22,36,5,12,13.89,133,19,44.33,52.78,0,0,0,0,2.2,0,0,0,0,10,3,3.33,8.33,11,2,3.67,5.56,34,7,11.33,19.44,97,15,32.33,41.67,5,3,1.67,8.33,13,2,4.33,5.56,1,2,1,0.67,2.78,0,0,0,0,64,17,21.33,47.22,11,2,3.67,5.56,46,5,15.33,13.89,63,9,21,25,151,10,50.33,27.78,11,6,3.67,16.67,0,0,0,0,0,0,0,0,10,1,3.33,2.78,87,14,29,38.89,46,8,15.33,22.22,150,9,50,25,161,14,53.67,38.89,300,36,14,3,4.67,8.33,13,2,4.33,5.56,7.26
2007470,"NLA06608-0002",2007,2,"7/23/2007","CPL","PLNLOW","CPL",0,0,0,0,150,6,50,16.67,56.94,88.89,95.14,146,9,48.67,25,60,12,20,33.33,22,3,7.33,8.33,1,1,0.33,2.78,0,0,0,0,177,11,59,30.56,0,0,0,0,160,12,53.33,33.33,34.17,53.33,64.17,7,1,2.33,2.78,35,6,11.67,16.67,12,3,4,8.33,91,16,30.33,44.44,1,1,0.33,2.78,2.6,0,0,0,0,25,6,8.33,16.67,2,2,0.67,5.56,88,11,29.33,30.56,67,10,22.33,27.78,23,3,7.67,8.33,61,3,20.33,8.33,0,0,0,0,0,0,0,0,0,115,23,38.33,63.89,1,1,0.33,2.78,20,1,6.67,2.78,75,11,25,30.56,186,14,62,38.89,21,7,7,19.44,0,0,0,0,0,0,0,0,6,2,2,5.56,61,8,20.33,22.22,34,9,11.33,25,186,14,62,38.89,196,17,65.33,47.22,300,36,5,2,1.67,5.56,61,3,20.33,8.33,7.36
2007471,"NLA06608-0003",2007,1,"8/29/2007","CPL","PLNLOW","CPL",0,0,0,0,227,9,75.67,30,48.75,81.67,88.75,241,14,80.33,46.67,38,6,12.67,20,20,7,6.67,23.33,124,4,41.33,13.33,1,1,0.33,3.33,120,14,40,46.67,0,0,0,0,251,17,83.67,56.67,39.8,69.05,75.51,2,2,0.67,6.67,7,5,2.33,16.67,5,4,1.67,13.33,68,20,22.67,66.67,0,0,0,0,2.14,75,2,25,6.67,18,2,6,6.67,12,2,4,6.67,41,7,13.67,23.33,125,16,41.67,53.33,2,1,0.67,3.33,10,3,3.33,10,0,0,0,0,0,0,0,0,0,34,9,11.33,30,12,2,4,6.67,125,3,41.67,10,18,9,6,30,144,4,48,13.33,1,1,0.33,3.33,15,3,5,10,70,1,23.33,3.33,5,1,1.67,3.33,50,14,16.67,46.67,21,8,7,26.67,144,4,48,13.33,147,6,49,20,300,30,3,2,1,6.67,10,3,3.33,10,5.76
2007472,"NLA06608-0003",2007,2,"9/6/2007","CPL","PLNLOW","CPL",0,0,0,0,107,10,35.67,32.26,33.58,65.67,79.85,141,14,47,45.16,107,7,35.67,22.58,53,5,17.67,16.13,46,3,15.33,9.68,0,0,0,0,103,13,34.33,41.94,0,0,0,0,141,14,47,45.16,25.44,50.52,63.41,18,4,6,12.9,32,8,10.67,25.81,29,6,9.67,19.35,155,19,51.67,61.29,0,0,0,0,2.65,64,4,21.33,12.9,37,2,12.33,6.45,82,4,27.33,12.9,126,8,42,25.81,197,19,65.67,61.29,3,2,1,6.45,7,2,2.33,6.45,1.42,2,1,0.67,3.23,0,0,0,0,62,10,20.67,32.26,84,6,28,19.35,40,4,13.33,12.9,39,9,13,29.03,67,4,22.33,12.9,2,1,0.67,3.23,28,2,9.33,6.45,46,2,15.33,6.45,18,2,6,6.45,133,15,44.33,48.39,35,7,11.67,22.58,67,4,22.33,12.9,80,7,26.67,22.58,300,31,11,2,3.67,6.45,7,2,2.33,6.45,5.15
2007473,"NLA06608-0004",2007,1,"7/10/2007","WMTNS","WMTNS","WMT",12,1,4,3.23,108,7,36,22.58,33.72,68.6,83.72,88,12,29.33,38.71,59,6,19.67,19.35,20,4,6.67,12.9,9,3,3,9.68,5,1,1.67,3.23,197,18,65.67,58.06,15,2,5,6.45,89,13,29.67,41.94,13.79,37.55,53.64,13,2,4.33,6.45,30,5,10,16.13,18,3,6,9.68,36,8,12,25.81,0,0,0,0,2.92,2,2,0.67,6.45,9,3,3,9.68,42,2,14,6.45,181,13,60.33,41.94,25,6,8.33,19.35,12,2,4,6.45,111,5,37,16.13,36.36,32,3,10.67,9.68,0,0,0,0,54,9,18,29.03,42,2,14,6.45,44,3,14.67,9.68,91,11,30.33,35.48,175,13,58.33,41.94,3,1,1,3.23,15,3,5,9.68,0,0,0,0,3,3,1,9.68,22,3,7.33,9.68,82,10,27.33,32.26,175,13,58.33,41.94,244,19,81.33,61.29,300,31,5,1,1.67,3.23,108,4,36,12.9,7.23
2007474,"NLA06608-0004",2007,2,"9/11/2007","WMTNS","WMTNS","WMT",16,1,5.33,3.45,67,6,22.33,20.69,43.02,90.7,93.02,95,11,31.67,37.93,28,7,9.33,24.14,25,5,8.33,17.24,6,3,2,10.34,4,1,1.33,3.45,168,15,56,51.72,16,1,5.33,3.45,101,12,33.67,41.38,25.36,48.55,63.04,23,2,7.67,6.9,35,6,11.67,20.69,30,3,10,10.34,52,10,17.33,34.48,0,0,0,0,2.57,28,2,9.33,6.9,17,2,5.67,6.9,15,2,5,6.9,162,10,54,34.48,65,9,21.67,31.03,5,3,1.67,10.34,44,4,14.67,13.79,74.74,71,4,23.67,13.79,0,0,0,0,34,9,11.33,31.03,15,2,5,6.9,67,3,22.33,10.34,94,9,31.33,31.03,89,9,29.67,31.03,4,2,1.33,6.9,3,3,1,10.34,0,0,0,0,33,4,11,13.79,32,5,10.67,17.24,75,9,25,31.03,89,9,29.67,31.03,149,15,49.67,51.72,300,29,7,1,2.33,3.45,42,3,14,10.34,4.94
2007475,"NLA06608-0005",2007,1,"7/18/2007","WMTNS","WMTNS","WMT",47,2,15.67,6.06,44,10,14.67,30.3,20.73,51.22,69.51,84,12,28,36.36,22,7,7.33,21.21,55,5,18.33,15.15,27,4,9,12.12,1,1,0.33,3.03,238,19,79.33,57.58,47,2,15.67,6.06,87,13,29,39.39,35.64,52.73,64,102,2,34,6.06,105,5,35,15.15,104,4,34.67,12.12,197,15,65.67,45.45,0,0,0,0,2.56,2,1,0.67,3.03,3,2,1,6.06,12,3,4,9.09,107,14,35.67,42.42,61,9,20.33,27.27,1,1,0.33,3.03,45,7,15,21.21,9.52,8,2,2.67,6.06,0,0,0,0,38,10,12.67,30.3,3,2,1,6.06,57,4,19,12.12,202,13,67.33,39.39,64,12,21.33,36.36,0,0,0,0,16,2,5.33,6.06,0,0,0,0,2,1,0.67,3.03,59,8,19.67,24.24,174,11,58,33.33,62,11,20.67,33.33,100,16,33.33,48.48,300,33,2,2,0.67,6.06,25,4,8.33,12.12,6.51
2007476,"NLA06608-0005",2007,2,"8/22/2007","WMTNS","WMTNS","WMT",37,2,18.14,7.41,41,6,20.1,22.22,28.81,61.02,79.66,60,11,29.41,40.74,20,4,9.8,14.81,26,5,12.75,18.52,24,5,11.76,18.52,1,1,0.49,3.7,159,15,77.94,55.56,37,2,18.14,7.41,60,11,29.41,40.74,31.28,56.92,68.21,62,2,30.39,7.41,63,3,30.88,11.11,63,3,30.88,11.11,106,11,51.96,40.74,0,0,0,0,2.46,15,3,7.35,11.11,5,3,2.45,11.11,14,2,6.86,7.41,79,12,38.73,44.44,48,10,23.53,37.04,0,0,0,0,22,5,10.78,18.52,10,6,3,2.94,11.11,0,0,0,0,17,7,8.33,25.93,10,1,4.9,3.7,40,3,19.61,11.11,112,9,54.9,33.33,35,9,17.16,33.33,1,1,0.49,3.7,18,2,8.82,7.41,0,0,0,0,16,4,7.84,14.81,32,6,15.69,22.22,120,7,58.82,25.93,35,9,17.16,33.33,82,12,40.2,44.44,204,27,1,1,0.49,3.7,12,3,5.88,11.11,6.22
2007477,"NLA06608-0006",2007,1,"7/17/2007","EHIGH","EHIGH","NAP",74,2,24.67,5,40,10,13.33,25,27.59,65.52,79.31,63,13,21,32.5,56,6,18.67,15,46,11,15.33,27.5,34,3,11.33,7.5,0,0,0,0,177,17,59,42.5,83,3,27.67,7.5,64,14,21.33,35,26.64,49.03,58.69,46,3,15.33,7.5,81,10,27,25,73,8,24.33,20,140,20,46.67,50,0,0,0,0,2.79,16,1,5.33,2.5,3,2,1,5,52,4,17.33,10,152,14,50.67,35,73,16,24.33,40,8,2,2.67,5,13,4,4.33,10,1.59,1,1,0.33,2.5,0,0,0,0,41,14,13.67,35,45,6,15,15,77,5,25.67,12.5,166,16,55.33,40,58,12,19.33,30,2,1,0.67,2.5,17,2,5.67,5,0,0,0,0,40,5,13.33,12.5,33,11,11,27.5,168,11,56,27.5,58,12,19.33,30,143,18,47.67,45,300,40,27,5,9,12.5,11,2,3.67,5,6.42
