"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"DESIGN","AGGR_ECO3_2015","NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions","EHIGH|PLNLOW|WMTNS",NA,NA,""
"DESIGN","AGGR_ECO9_2015","NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER",NA,NA,""
"DESIGN","STATE","State lake is assigned to for sampling in NLA 2012","",NA,NA,""
"VERIF","DATE_COL","Date of sample collection","",NA,NA,"None"
"VERIF","SITE_ID","Identification code for site","",NA,NA,""
"VERIF","VISIT_NO","Sequential number of visit to site","|1|2",NA,NA,""
"MICL","MICL_MDL","Minimum detection limit of analyte for Littoral Microcystin","",NA,NA,"ug/L"
"MICL","MICL_DATE_RECEIVED","Date sample received by laboratory for Littoral Microcystin","",NA,NA,""
"MICL","MICL_HOLDING_TIME","Sample holding time for Littoral Microcystin","",NA,NA,""
"MICL","MICL_BATCH_ID","Batch ID from lab for Littoral Microcystin","",NA,NA,""
"MICL","MICL_FLAG","Flag for Littoral Microcystin","",NA,NA,""
"MICL","MICL_QA_FLAG","QA flag associated with sample for Littoral Microcystin","",NA,NA,""
"MICL","MICL_SAMPLE_ID","ID for sample collected for Littoral Microcystin","",NA,NA,""
"MICL","MICL_RL","Reporting limit for Littoral Microcystin","",NA,NA,"ug/L"
"MICL","MICL_UNITS","Units for Littoral Microcystin","",NA,NA,""
"MICL","MICL_DATE_ANALYZED","Date of sample analysis for Littoral Microcystin","",NA,NA,""
"MICL","MICL_RESULT","Analyte value for Littoral Microcystin","",NA,NA,"ug/L"
"MICX","MICX_DATE_RECEIVED","Date sample received by laboratory for X-site Microcystin","",NA,NA,""
"MICX","MICX_MDL","Minimum detection limit of analyte for X-site Microcystin","",NA,NA,"ug/L"
"MICX","MICX_RESULT","Analyte value for X-site Microcystin","",NA,NA,"ug/L"
"MICX","MICX_HOLDING_TIME","Sample holding time for X-site Microcystin","",NA,NA,""
"MICX","MICX_RL","Reporting limit for X-site Microcystin","",NA,NA,"ug/L"
"MICX","MICX_QA_FLAG","QA flag associated with sample for X-site Microcystin","",NA,NA,""
"MICX","MICX_DATE_ANALYZED","Date of sample analysis for X-site Microcystin","",NA,NA,""
"MICX","MICX_UNITS","Units for X-site Microcystin","",NA,NA,""
"MICX","MICX_SAMPLE_ID","ID for sample collected for X-site Microcystin","",NA,NA,""
"MICX","MICX_FLAG","Flag for X-site Microcystin","",NA,NA,""
"MICX","MICX_BATCH_ID","Batch ID from lab for X-site Microcystin","",NA,NA,""
"","UID","Unique site visit ID","",NA,NA,""
"","ECO_BIO","Bioregions","",NA,NA,""
"","PUBLICATION_DATE","Publication Date","",NA,NA,""
"","LAB","Lab name","",NA,NA,""
