"SAMPLE_TYPE","DATA_COLUMN","DESCRIPTION","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"INVERTEBRATES","CLASS","","Class of taxon","",NA,NA,""
"INVERTEBRATES","FAMILY","","Family of taxon","",NA,NA,""
"INVERTEBRATES","FFG","Functional feeding group for macroinvertebrates, codes separated by commas if more than one","","CF|CG|PI|PR|SC|SH",NA,NA,"None"
"INVERTEBRATES","GENUS","","Genus of taxon","",NA,NA,""
"INVERTEBRATES","HABIT","Habit designation for macroinvertebrates","","BU|CB|CN|DV|PK|SK|SP|SW",NA,NA,"None"
"INVERTEBRATES","NON_TARGET","Macroinvertebrate designation for non-target taxon","","N|Y",NA,NA,"None"
"INVERTEBRATES","ORDER","","Order of taxon","",NA,NA,""
"INVERTEBRATES","PHYLUM","","Phylum of taxon","",NA,NA,""
"INVERTEBRATES","PTV","Pollution tolerance value for macroinvertebrate taxon","","",10,0,"None"
"INVERTEBRATES","SPECIES","","Species of taxon","",NA,NA,""
"INVERTEBRATES","SUBCLASS","","Subclass of taxon","",NA,NA,""
"INVERTEBRATES","SUBFAMILY","","Subfamily of taxon","",NA,NA,""
"INVERTEBRATES","SUBORDER","","Suborder of taxon","",NA,NA,""
"INVERTEBRATES","TARGET_TAXON","","Name of taxon at target taxon level","",NA,NA,""
"INVERTEBRATES","TRIBE","","Tribe of taxon","",NA,NA,""
"","PUBLICATION_DATE","Publication Date","","",NA,NA,""
"","TAXA_ID","Taxa identification number","","",NA,NA,""
"","ASSEMBLAGE_NAME","Assemblage of taxon","","",NA,NA,""
