"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"PHAB","AMFCALL","Aquatic macrophytes: fractional cover of all macrophytes","",NA,NA,""
"PHAB","AMFCEMERGENT","Aquatic macrophytes: fractional cover of emergent macrophytes","",NA,NA,""
"PHAB","AMFCFLOATING","Aquatic macrophytes: fractional cover of floating macrophytes","",NA,NA,""
"PHAB","AMFCSUBMERGENT","Aquatic macrophytes: fractional cover of submergent macrophytes","",NA,NA,""
"PHAB","AMFPALL","Aquatic macrophytes: fractional presence of all macrophytes","",NA,NA,""
"PHAB","AMFPEMERGENT","Aquatic macrophytes: fractional presence of emergent macrophytes","",NA,NA,""
"PHAB","AMFPFLOATING","Aquatic macrophytes: fractional presence of floating macrophytes","",NA,NA,""
"PHAB","AMFPSUBMERGENT","Aquatic macrophytes: fractional presence of submergent macrophytes","",NA,NA,""
"PHAB","AMIDALL","Aquatic macrophytes: interdecimile cover of all macrophytes","",NA,NA,""
"PHAB","AMIQALL","Aquatic macrophytes: interquartile cover of all macrophytes","",NA,NA,""
"PHAB","AMITOTAL","Aquatic macrophytes: index of total cover of aquatic macrophytes","",NA,NA,""
"PHAB","AMNALL","Aquatic macrophytes: number of stations with Total cover data","",NA,NA,""
"PHAB","AMNEMERGENT","Aquatic macrophytes: number of stations with Emergent data","",NA,NA,""
"PHAB","AMNFLOATING","Aquatic macrophytes: number of stations with Floating data","",NA,NA,""
"PHAB","AMNSUBMERGENT","Aquatic macrophytes: number of stations with Submergent data","",NA,NA,""
"PHAB","AMVALL","Aquatic macrophytes: std dev. Cover of all macrophytes","",NA,NA,""
"PHAB","AMVEMERGENT","Aquatic macrophytes: std dev. Cover of Emergent macrophytes","",NA,NA,""
"PHAB","AMVFLOATING","Aquatic macrophytes: std dev. Cover of Floating macrophytes","",NA,NA,""
"PHAB","AMVSUBMERGENT","Aquatic macrophytes: std dev. Cover of Submergent macrophytes","",NA,NA,""
"PHAB","BFFFLAT","Bank features: fraction with flat banks","",NA,NA,""
"PHAB","BFFGRADUAL","Bank features: fraction with gradual banks","",NA,NA,""
"PHAB","BFFSTEEP","Bank features: fraction with steep banks","",NA,NA,""
"PHAB","BFFVERTICAL","Bank features: fraction with vertical banks","",NA,NA,""
"PHAB","BFNANGLE","Bank features: number of stations with bank angle data","",NA,NA,""
"PHAB","BFNHORIZDIST","Bank features: count of horizontal distance to highwater mark","",NA,NA,""
"PHAB","BFNHORIZDIST_DD","Bank features: count of horizontal distance to drawdown zone","",NA,NA,""
"PHAB","BFNVERTHEIGHT","Bank features: count of vertical height to highwater mark","",NA,NA,""
