"SAMPLE_TYPE","VARIABLE","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"PHYL","ABUNDANCE","Number of organisms counted from sample","",NA,NA,""
"PHYL","ANALYST_NAME","Analyst name","",NA,NA,""
"PHYL","BIOVOLUME","Volume of cells per mL of sample","",NA,NA,"cu um/ml"
"PHYL","COUNT_AREA","Total area actually counted","",NA,NA,"sq mm"
"PHYL","COUNT_UNIT","Unit of count (cell=C or natural unit=N)","C|N",NA,NA,"None"
"PHYL","DENSITY","Number of organisms/L","",NA,NA,""
"PHYL","INITIAL_VOLUME","Initial volume of sample","",NA,NA,"ml"
"PHYL","IS_DISTINCT","Distinct taxa classification per sample","1|0",NA,NA,""
"PHYL","SAMPLE_ID","ID for sample collected","",NA,NA,""
"PHYL","SUBSAMPLE_VOLUME","Volume of subsample","",NA,NA,"ml"
"PHYL","TOTAL_AREA","Total area available for counting","",NA,NA,"sq mm"
"PHYL","UNIT_CELLS","Number of natural units counted, defined as one for each colony, filament, diatom cell (regardless if colonial or filamentous) or unicell","",NA,NA,"None"
"PHYL","VOLUME_COUNTED","Actual volume counted (mL)","",NA,NA,""
"PHYX","ABUNDANCE","Number of organisms counted from sample","",NA,NA,""
"PHYX","ANALYST_NAME","Analyst name","",NA,NA,""
"PHYX","BIOVOLUME","Volume of cells per mL of sample","",NA,NA,"cu um/ml"
"PHYX","COUNT_AREA","Total area actually counted","",NA,NA,"sq mm"
"PHYX","COUNT_UNIT","Unit of count (cell=C or natural unit=N)","",NA,NA,"None"
"PHYX","DENSITY","Number of organisms/L","",NA,NA,""
"PHYX","INITIAL_VOLUME","Initial volume of sample","",NA,NA,"ml"
"PHYX","IS_DISTINCT","Distinct taxa classification per sample","1|0",NA,NA,""
"PHYX","SAMPLE_ID","ID for sample collected","",NA,NA,""
"PHYX","SUBSAMPLE_VOLUME","Volume of subsample","",NA,NA,"ml"
"PHYX","TOTAL_AREA","Total area available for counting","",NA,NA,"sq mm"
"PHYX","UNIT_CELLS","Number of natural units counted, defined as one for each colony, filament, diatom cell (regardless if colonial or filamentous) or unicell","",NA,NA,"None"
"PHYX","VOLUME_COUNTED","Actual volume counted (mL)","",NA,NA,""
"DESIGN","AGGR_ECO3_2015","NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions","EHIGH|PLNLOW|WMTNS",NA,NA,""
"DESIGN","AGGR_ECO9_2015","NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER",NA,NA,""
"DESIGN","STATE","State lake is assigned to for sampling in NLA 2012","",NA,NA,""
"PHYTOPLANKTON","ALGAL_GROUP","Broad algal group, used in metric calculation","BLUE-GREEN ALGAE|CRYPTOPHYTES|DIATOM|DINOFLAGELLATES|EUGLENOIDS|EUSTIGMATOPHYTES|GOLDEN ALGAE|GREEN ALGAE|YELLOW-GREEN ALGAE",NA,NA,"None"
"PHYTOPLANKTON","CLASS","Class of taxon","",NA,NA,""
"PHYTOPLANKTON","FAMILY","Family of taxon","",NA,NA,""
"PHYTOPLANKTON","GENUS","Genus of taxon","",NA,NA,""
"PHYTOPLANKTON","ORDER","Order of taxon","",NA,NA,""
"PHYTOPLANKTON","PHYLUM","Phylum of taxon","",NA,NA,""
"PHYTOPLANKTON","SPECIES","Species of taxon","",NA,NA,""
"PHYTOPLANKTON","TARGET_TAXON","Name of taxon at target taxon level","",NA,NA,""
"VERIF","DATE_COL","Date of sample collection","",NA,NA,"None"
"VERIF","SITE_ID","Identification code for site","",NA,NA,""
"VERIF","VISIT_NO","Sequential number of visit to site","|1|2",NA,NA,""
"","PUBLICATION_DATE","Date the dataset was published to the NARS site","",NA,NA,""
"","SAMPLE_TYPE","Code identifying sample type","",NA,NA,""
"","UID","Unique identifier for the site/visit","",NA,NA,""
"","ECO_BIO","Five aggregated ecoregions as used in NLA (CPL, EHIGH, PLAINS, UMW, WMTNS)","",NA,NA,""
"","TAXA_ID","Taxonomic ID number","",NA,NA,""
