"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"DESIGN","AGGR_ECO3_2015","NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions","EHIGH|PLNLOW|WMTNS",NA,NA,""
"DESIGN","AGGR_ECO9_2015","NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER",NA,NA,""
"DESIGN","STATE","State lake is assigned to for sampling in NLA 2012","",NA,NA,""
"VERIF","DATE_COL","Date of sample collection","",NA,NA,"None"
"VERIF","SITE_ID","Identification code for site","",NA,NA,""
"VERIF","VISIT_NO","Sequential number of visit to site","|1|2",NA,NA,""
"SEDG","TOTALHG_RESULT","Analyte value for bottom sediment mercury for Total Mercury","",NA,NA,""
"SEDG","TOTALHG_UNITS","Units for Total Mercury","",NA,NA,""
"SEDG","TOTALHG_BATCH_ID","Batch ID from lab for Total Mercury","",NA,NA,""
"SEDH","METHYLMERCURY_RESULT","Analyte value for top sediment mercury for Methyl mercury","",NA,NA,""
"SEDH","METHYLMERCURY_UNITS","Units for Methyl mercury","",NA,NA,""
"SEDH","METHYLMERCURY_BATCH_ID","Batch ID from lab for Methyl mercury","",NA,NA,""
"SEDH","TOTALHG_RESULT","Analyte value for top sediment mercury for Total Mercury","",NA,NA,""
"SEDH","TOTALHG_UNITS","Units for Total Mercury","",NA,NA,""
"SEDH","TOTALHG_BATCH_ID","Batch ID from lab for Total Mercury","",NA,NA,""
"","ECO_BIO","Bioregions","",NA,NA,""
"","LAB","Lab name ","",NA,NA,""
"","PUBLICATION_DATE","Publication Date","",NA,NA,""
"","SEDH_SAMPLE_ID","Top Sediment sample ID","",NA,NA,""
"","UID","Unique Site Visit ID","",NA,NA,""
