PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STATE,SAMPLE_TYPE,FORM_TYPE,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_SCORE,AGR_STRING,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,FLAG_ASSESS,FLIGHT_HAZARDS,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,IND_SCORE,IND_STRING,LAKE_LEVEL,LEVEL_CHANGE_M,LEVEL_CHANGES,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_SCORE,MAN_STRING,MAN_TREATMENT,MBOAT_DENSITY,OUTLET_DAMS,PHOTOGRAPHS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_SCORE,REC_STRING,REC_TRAILS,REC_TRASH,RECREATIONAL_ACTIVITY,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SCORE,RES_SEWAGE,RES_STRING,REVIEWED_BY_INITIAL,STUDYNAME,SWIMMABILITY,TROPHIC_STATE
8/23/2016,1000001,NLA12_MS-116,5-Jun-12,1,MS,ASSESS,eForms,,,,,,,0,,,5,GOOD,,,RESERVOIR,,,,,,,,,0,,ZERO,,,MODERATE,25-May,25-May,M,,,,,,3,M,,LOW,ARTIFICIAL,,4,0-05,25-May,0-05,75-100,25-75,0-05,25-75,25-May,,L,,L,,2,LL,,,,GOOD,,,,M,L,L,L,6,,MLLL,CW,NLA,GOOD,MESOTROPHIC
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,ASSESS,eForms,,,L,,,,1,L,,5,EXCELLENT,,,RESERVOIR,,,,,,,,,0,,ZERO,,,MODERATE,25-May,0-05,L,,,,,,1,L,,RESTRICTED,ARTIFICIAL,,5,0-05,0-05,0-05,25-75,25-75,0-05,25-75,25-May,,,,,,1,L,,L,,GOOD,,,,,L,,L,2,,LL,CW,NLA,FAIR,MESOTROPHIC
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,ASSESS,eForms,,,L,,L,,2,LL,,3,GOOD,,,RESERVOIR,,,,,,,,,0,,ZERO,,,MODERATE,25-May,0-05,L,,,,,,1,L,,LOW,ARTIFICIAL,,3,25-May,0-05,0-05,25-May,75-100,0-05,25-75,0-05,L,,,,,2,LL,L,,,FAIR,,L,,M,,L,L,6,,LMLL,CW,NLA,FAIR,MESOTROPHIC
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,ASSESS,eForms,,,,,,,0,,,4,GOOD,,,DRAINAGE,,,,L,,,,,1,L,ZERO,,,MODERATE,0-05,25-75,L,,M,,,,4,LM,,LOW,ARTIFICIAL,,2,25-May,25-May,25-75,25-May,25-75,25-75,25-May,25-May,,,L,,,2,LL,,L,,GOOD,,L,,L,L,L,L,5,,LLLLL,KCM,NLA,GOOD,MESOTROPHIC
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,ASSESS,eForms,,,,,,,3,M,M,2,FAIR,,,RESERVOIR,,,,,,,,,0,,ZERO,,,MODERATE,25-May,25-75,L,,,,,,1,L,,LOW,ARTIFICIAL,,3,0-05,25-May,25-May,25-75,25-May,25-75,25-May,25-May,,,,L,,2,LL,,L,,FAIR,,,,L,,M,L,5,,LML,CRD,NLA,FAIR,MESOTROPHIC
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,ASSESS,eForms,,,,,,,0,,,4,POOR,,,RESERVOIR,,,,,,,,,0,,ELEVATION CHANGE,3,3,MODERATE,0-05,25-75,L,,,H,,,6,LH,,RESTRICTED,ARTIFICIAL,,4,,,25-May,25-75,0-05,25-May,0-05,0-05,,,,,,1,L,,L,,GOOD,,,,L,,L,,2,,LL,CRD,NLA,GOOD,MESOTROPHIC
8/23/2016,1000016,NLA12_OR-133,20-Jun-12,1,OR,ASSESS,eForms,,,,,,,0,,,2,POOR,,,RESERVOIR,L,,L,M,,,,,5,LLM,ZERO,,,HIGH,75-100,0-05,,,,,,,0,,,RESTRICTED,NONE,,1,0-05,25-May,0-05,0-05,25-75,0-05,75-100,0-05,,,,,,3,M,M,,,FAIR,L,L,,M,L,M,M,13,L,LLMLMML,,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000017,NLA12_OR-131,21-Jun-12,1,OR,ASSESS,eForms,,,,,,,0,,,3,FAIR,,,RESERVOIR,L,,L,L,,,,,3,LLL,ZERO,,,MODERATE,0-05,25-75,,,,,,,0,,,LOW,NONE,,2,0-05,0-05,0-05,0-05,25-May,0-05,75-100,0-05,,,,,,0,,,,,FAIR,,L,,L,L,L,L,5,,LLLLL,,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000018,NLA12_TX-158,24-Jun-12,1,TX,ASSESS,eForms,M,,,,,,6,MM,M,3,GOOD,,,RESERVOIR,,,,,,,,,0,,ZERO,,,SPARSE,25-May,0-05,,,,,,,0,,,RESTRICTED,ARTIFICIAL,,2,0-05,0-05,0-05,25-May,25-May,0-05,25-May,75-100,,,,,,1,L,,L,,POOR,L,,,,M,,L,5,,LML,JPS,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000019,NLA12_ID-107,25-Jun-12,1,ID,ASSESS,eForms,,,L,,,,4,LM,M,1,FAIR,,,RESERVOIR,,,,,,,,,0,,YES,3.5,3.5,MODERATE,25-75,0-05,,,,M,,,3,M,,LOW,ARTIFICIAL,,2,0-05,75-100,0-05,0-05,0-05,0-05,25-May,25-75,M,,,,,8,MH,,H,,POOR,,,L,,,L,L,3,,LLL,CW,NLA,UNSWIMMABLE,MESOTROPHIC
