SAMPLE_TYPE,VARIABLE,LABEL,LEGAL_VALUES,RANGE_HIGH,RANGE_LOW,UNITS
ASSESS,AGR_CROPLAND,Agricultural cropland disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,AGR_FEEDLOT,Agricultural feedlot disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,AGR_LIVESTOCK,Agricultural livestock disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,AGR_ORCHARDS,Agricultural orchards disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,AGR_PASTURE,Agricultural pasture disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,AGR_POULTRY,Agricultural poultry disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,AGR_SCORE,"Summed Agricultural Stressor Score (1,3,5 scoring)",,,,
ASSESS,AGR_STRING,Concatenated Agricultural Stressors,,,,
ASSESS,AGR_WITHDRAWAL,Agricultural water withdrawl,|L|M|H,,,
ASSESS,APPEALING,Appeal of waterbody character (5=Appealing - 1=Unappealing),|1|2|3|4|5,,,
ASSESS,BIOTIC_INTEGRITY,Ecological integrity (Excellent/Good/Fair/Poor),|EXCELLENT|GOOD|FAIR|POOR,,,
ASSESS,FLAG_ASSESS,Flag associated with assessment form ,,,,
ASSESS,FLIGHT_HAZARDS,Low elevation flight hazards (Yes/No),|YES|NO|Y|N,,,
ASSESS,HYDRO_TYPE,Lake type (Reservoir/Drainage/Seepage),|SEEPAGE|DRAINAGE|RESERVOIR,,,
ASSESS,IND_COMMERCIAL,Industrial commercial disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,IND_FIRE,Industrial evidence of fire disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,IND_INDUSTRIAL,Industrial industrial plants disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
ASSESS,IND_LOGGING,Industrial logging disturbances observed (Blank=none/Low/Moderate/Heavy),|L|M|H,,,
