"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"CHEM","ANC_DATE_ANALYZED","Date of sample analysis for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_HOLDING_TIME","Sample holding time for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_QA_FLAG","QA flag associated with sample for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_RESULT","Analyte value for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_BATCH_ID","Batch ID from lab for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_FLAG","Flag for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_UNITS","Units for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_LAB_SAMPLE_ID","Laboratory Sample ID for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","ANC_LAB_FLAG","Flag from laboratory for Acid Neutralizing Capacity",NA,NA,NA,NA
"CHEM","COND_DATE_ANALYZED","Date of sample analysis for Conductivity",NA,NA,NA,NA
"CHEM","COND_HOLDING_TIME","Sample holding time for Conductivity",NA,NA,NA,NA
"CHEM","COND_MDL","Minimum detection limit of analyte for Conductivity",NA,NA,NA,NA
"CHEM","COND_QA_FLAG","QA flag associated with sample for Conductivity",NA,NA,NA,NA
"CHEM","COND_RESULT","Analyte value for Conductivity",NA,NA,NA,NA
"CHEM","COND_RL","Reporting limit for Conductivity",NA,NA,NA,NA
"CHEM","COND_BATCH_ID","Batch ID from lab for Conductivity",NA,NA,NA,NA
"CHEM","COND_FLAG","Flag for Conductivity",NA,NA,NA,NA
"CHEM","COND_UNITS","Units for Conductivity",NA,NA,NA,NA
"CHEM","COND_LAB_SAMPLE_ID","Laboratory Sample ID for Conductivity",NA,NA,NA,NA
"CHEM","COND_LAB_FLAG","Flag from laboratory for Conductivity",NA,NA,NA,NA
"CHEM","PH_DATE_ANALYZED","Date of sample analysis for pH",NA,NA,NA,NA
"CHEM","PH_HOLDING_TIME","Sample holding time for pH",NA,NA,NA,NA
"CHEM","PH_QA_FLAG","QA flag associated with sample for pH",NA,NA,NA,NA
"CHEM","PH_RESULT","Analyte value for pH",NA,NA,NA,NA
"CHEM","PH_BATCH_ID","Batch ID from lab for pH",NA,NA,NA,NA
"CHEM","PH_FLAG","Flag for pH",NA,NA,NA,NA
"CHEM","PH_UNITS","Units for pH",NA,NA,NA,NA
"CHEM","PH_LAB_SAMPLE_ID","Laboratory Sample ID for pH",NA,NA,NA,NA
"CHEM","PH_LAB_FLAG","Flag from laboratory for pH",NA,NA,NA,NA
"CHEM","TURB_DATE_ANALYZED","Date of sample analysis for Turbidity",NA,NA,NA,NA
"CHEM","TURB_HOLDING_TIME","Sample holding time for Turbidity",NA,NA,NA,NA
"CHEM","TURB_MDL","Minimum detection limit of analyte for Turbidity",NA,NA,NA,NA
"CHEM","TURB_QA_FLAG","QA flag associated with sample for Turbidity",NA,NA,NA,NA
"CHEM","TURB_RESULT","Analyte value for Turbidity",NA,NA,NA,NA
"CHEM","TURB_RL","Reporting limit for Turbidity",NA,NA,NA,NA
"CHEM","TURB_BATCH_ID","Batch ID from lab for Turbidity",NA,NA,NA,NA
"CHEM","TURB_FLAG","Flag for Turbidity",NA,NA,NA,NA
"CHEM","TURB_UNITS","Units for Turbidity",NA,NA,NA,NA
"CHEM","TURB_LAB_SAMPLE_ID","Laboratory Sample ID for Turbidity",NA,NA,NA,NA
"CHEM","TURB_LAB_FLAG","Flag from laboratory for Turbidity",NA,NA,NA,NA
"CHEM","COLOR_DATE_ANALYZED","Date of sample analysis for Color",NA,NA,NA,NA
"CHEM","COLOR_HOLDING_TIME","Sample holding time for Color",NA,NA,NA,NA
"CHEM","COLOR_MDL","Minimum detection limit of analyte for Color",NA,NA,NA,NA
"CHEM","COLOR_QA_FLAG","QA flag associated with sample for Color",NA,NA,NA,NA
"CHEM","COLOR_RESULT","Analyte value for Color",NA,NA,NA,NA
"CHEM","COLOR_RL","Reporting limit for Color",NA,NA,NA,NA
"CHEM","COLOR_BATCH_ID","Batch ID from lab for Color",NA,NA,NA,NA
"CHEM","COLOR_FLAG","Flag for Color",NA,NA,NA,NA
"CHEM","COLOR_UNITS","Units for Color",NA,NA,NA,NA
"CHEM","COLOR_LAB_SAMPLE_ID","Laboratory Sample ID for Color",NA,NA,NA,NA
"CHEM","COLOR_LAB_FLAG","Flag from laboratory for Color",NA,NA,NA,NA
"CHEM","CHLORIDE_DATE_ANALYZED","Date of sample analysis for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_HOLDING_TIME","Sample holding time for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_MDL","Minimum detection limit of analyte for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_QA_FLAG","QA flag associated with sample for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_RESULT","Analyte value for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_RL","Reporting limit for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_BATCH_ID","Batch ID from lab for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_FLAG","Flag for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_UNITS","Units for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_LAB_SAMPLE_ID","Laboratory Sample ID for Chloride ion",NA,NA,NA,NA
"CHEM","CHLORIDE_LAB_FLAG","Flag from laboratory for Chloride ion",NA,NA,NA,NA
"CHEM","NITRATE_N_DATE_ANALYZED","Date of sample analysis for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_HOLDING_TIME","Sample holding time for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_MDL","Minimum detection limit of analyte for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_QA_FLAG","QA flag associated with sample for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_RESULT","Analyte value for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_RL","Reporting limit for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_BATCH_ID","Batch ID from lab for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_FLAG","Flag for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_UNITS","Units for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_LAB_SAMPLE_ID","Laboratory Sample ID for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_N_LAB_FLAG","Flag from laboratory for Nitrate as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_DATE_ANALYZED","Date of sample analysis for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_HOLDING_TIME","Sample holding time for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_MDL","Minimum detection limit of analyte for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_QA_FLAG","QA flag associated with sample for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_RESULT","Analyte value for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_RL","Reporting limit for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_BATCH_ID","Batch ID from lab for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_FLAG","Flag for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_UNITS","Units for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_LAB_SAMPLE_ID","Laboratory Sample ID for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRATE_NITRITE_N_LAB_FLAG","Flag from laboratory for Nitrate + Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_DATE_ANALYZED","Date of sample analysis for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_HOLDING_TIME","Sample holding time for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_MDL","Minimum detection limit of analyte for Nitrite as N",NA,NA,NA,NA
"CHEM","NITRITE_N_QA_FLAG","QA flag associated with sample for Nitrite as N",NA,NA,NA,NA
