"SAMPLE_TYPE","VARIABLE","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"ASSESS","REVIEWED_BY_INITIAL","Intials of form reviewer","",NA,NA,""
"PHAB","REVIEWED_BY_INITIAL","Intials of form reviewer","",NA,NA,""
"VERIF","REVIEWED_BY_INITIAL","Initial of reviewer of forms","",NA,NA,""
"ASSESS","REVIEWED_BY_INITIAL","Intials of form reviewer","",NA,NA,""
"BENT","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"CARP","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"CARU","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"CHEM","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"CHLL","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"CHLX","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"ISOT","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"NUTS","ACTUAL_DATE","Actual date sample was collected if different from DATE_COL for site","",NA,NA,"datetime"
"PHAB","AM_EMERGENT","Emergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","AM_FLOATING","Floating aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","AM_SUBMERGENT","Submergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","AM_TOTALCOVER","Total cover aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","ANGLE","Bank angle","|FLAT|GRADUAL|STEEP|NEAR_VERTICAL_UNDERCUT",NA,NA,""
"PHAB","BS_BEDROCK","Bottom substrate bedrock (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","BS_BOULDER","Bottom substrate boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","BS_COBBLE","Bottom substrate cobble (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)","|0|1|2|3|4",NA,NA,""
"PHAB","BS_COLOR","Bottom substrate color","|BLACK|GRAY|BROWN|RED|OTHER.*",NA,NA,""
"PHAB","BS_COLOR_DESC","Description of substrate color","",NA,NA,""
