"VARIABLE","DESCRIPTION","SAMPLE_TYPE","UNITS","RANGE_LOW","RANGE_HIGH","LEGAL_VALUES"
"ABUNDANCE","Number of organisms counted from sample","ZOCN",NA,NA,NA,NA
"ABUNDANCE","Number of organisms counted from sample","ZOCR",NA,NA,NA,NA
"ABUNDANCE","Number of organisms counted from sample","ZOFN",NA,NA,NA,NA
"ABUNDANCE","Number of organisms counted from sample","ZOFR",NA,NA,NA,NA
"BIOMASS","Taxa biomass per sample (µg dry weight/L)","ZOCN",NA,NA,NA,NA
"BIOMASS","Taxa biomass per sample (µg dry weight/L)","ZOCR",NA,NA,NA,NA
"BIOMASS","Taxa biomass per sample (µg dry weight/L)","ZOFN",NA,NA,NA,NA
"BIOMASS","Taxa biomass per sample (µg dry weight/L)","ZOFR",NA,NA,NA,NA
"BIOMASS_FACTOR","Average biomass per taxa (µg dry weight)","ZOFN",NA,NA,NA,NA
"BIOMASS_FACTOR","Average biomass per taxa (µg dry weight)","ZOFR",NA,NA,NA,NA
"CONCENTRATED_VOLUME","Laboratory starting volume (mL)","ZOCN",NA,NA,NA,NA
"CONCENTRATED_VOLUME","Laboratory starting volume (mL)","ZOCR",NA,NA,NA,NA
"CONCENTRATED_VOLUME","Laboratory starting volume (mL)","ZOFN",NA,NA,NA,NA
"CONCENTRATED_VOLUME","Laboratory starting volume (mL)","ZOFR",NA,NA,NA,NA
"DENSITY","Number of organisms/L","ZOCN",NA,NA,NA,NA
"DENSITY","Number of organisms/L","ZOCR",NA,NA,NA,NA
"DENSITY","Number of organisms/L","ZOFN",NA,NA,NA,NA
"DENSITY","Number of organisms/L","ZOFR",NA,NA,NA,NA
"IS_DISTINCT","Distinct taxa classification per sample","ZOCN",NA,NA,NA,NA
"IS_DISTINCT","Distinct taxa classification per sample","ZOCR",NA,NA,NA,NA
"IS_DISTINCT","Distinct taxa classification per sample","ZOFN",NA,NA,NA,NA
"IS_DISTINCT","Distinct taxa classification per sample","ZOFR",NA,NA,NA,NA
"PARAMETER","Variable name","",NA,NA,NA,NA
"PUBLICATION_DATE","Date the dataset was published to the NARS site","",NA,NA,NA,NA
"RESULT","Value of associated parameter","",NA,NA,NA,NA
"SAMPLE_ID","ID for sample collected","ZOCN",NA,NA,NA,NA
"SAMPLE_ID","ID for sample collected","ZOCR",NA,NA,NA,NA
"SAMPLE_ID","ID for sample collected","ZOFN",NA,NA,NA,NA
"SAMPLE_ID","ID for sample collected","ZOFR",NA,NA,NA,NA
"SAMPLE_TYPE","Code identifying sample type","",NA,NA,NA,NA
"TOW_VOLUME_FILTERED","Amount of water sampled in the field in mL","ZOCN",NA,NA,NA,NA
"TOW_VOLUME_FILTERED","Amount of water sampled in the field in mL","ZOCR",NA,NA,NA,NA
"TOW_VOLUME_FILTERED","Amount of water sampled in the field in mL","ZOFN",NA,NA,NA,NA
"TOW_VOLUME_FILTERED","Amount of water sampled in the field in mL","ZOFR",NA,NA,NA,NA
"UID","Unique identifier for the site/visit","",NA,NA,NA,NA
"VOLUME_COUNTED","Actual volume counted (mL)","ZOCN",NA,NA,NA,NA
"VOLUME_COUNTED","Actual volume counted (mL)","ZOCR",NA,NA,NA,NA
"VOLUME_COUNTED","Actual volume counted (mL)","ZOFN",NA,NA,NA,NA
"VOLUME_COUNTED","Actual volume counted (mL)","ZOFR",NA,NA,NA,NA
