"SAMPLE_TYPE","DATA_COLUMN","DESCRIPTION","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"ZOOPLANKTON","CLADOCERA_SIZE","Size group for cladocerans by taxon ","","LARGE|SMALL",NA,NA,"None"
"ZOOPLANKTON","CLASS","","Class of taxon","",NA,NA,""
"ZOOPLANKTON","FAMILY","","Family of taxon","",NA,NA,""
"ZOOPLANKTON","FFG","Functional feeding group codes for zooplankton, ","","FILT|HERB|OMNI|PARA|PRED|UNK",NA,NA,"None"
"ZOOPLANKTON","GENUS","","Genus of taxon","",NA,NA,""
"ZOOPLANKTON","NET_SIZECLS_NEW","Net mesh size assigned to taxon: FINE=captured only by fine-mesh net, COARSE=captured by coarse and fine nets. Based on NLA 2012 methods.","","COARSE|FINE",NA,NA,"None"
"ZOOPLANKTON","NET_SIZECLS_RES","Net mesh size assigned to taxon: FINE=captured only by fine-mesh net, COARSE=captured by coarse and fine nets. Based on NLA 2007 methods, and only taxa occurring in NLA 2012 resample sites or NLA 2007 sites.","","COARSE|FINE",NA,NA,"None"
"ZOOPLANKTON","ORDER","","Order of taxon","",NA,NA,""
"ZOOPLANKTON","PHYLUM","","Phylum of taxon","",NA,NA,""
"ZOOPLANKTON","SPECIES","","Species of taxon","",NA,NA,""
"ZOOPLANKTON","SUBCLASS","","Subclass of taxon","",NA,NA,""
"ZOOPLANKTON","SUBFAMILY","","Subfamily of taxon","",NA,NA,""
"ZOOPLANKTON","SUBORDER","","Suborder of taxon","",NA,NA,""
"ZOOPLANKTON","SUBSPECIES","Subspecies name","","",NA,NA,"None"
"ZOOPLANKTON","TARGET_TAXON","","Name of taxon at target taxon level","",NA,NA,""
"","PUBLICATION_DATE","Publication Date","","",NA,NA,""
"","ASSEMBLAGE_NAME","Assemblage of taxon","","",NA,NA,""
"","TAXA_ID","Taxa identification number","","",NA,NA,""
