field,units,description,algaltoxins,atrazine,bentcond,benthic,bentmet,benttaxa,chla,condition,phab,phabmet,phytotaxa,profile,secchi,siteinfo,topsedhg,waterchem,zoopcond,zoopmets,zooptaxa
ABUN_PT,NA,Abundance metric score for zooplankton MMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACID_CLS,NA,Acidity condition class,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACTUAL_DATE,datetime,Actual date sample was collected if different from DATE_COL for site,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AGGR_ECO3_2015,NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions",1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0
AGGR_ECO9_2015,NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0
ALGAL_GROUP,NA,"Broad algal group, used in metric calculation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALUMINUM_BATCH_ID,NA,Batch ID from lab for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_DATE_ANALYZED,NA,Date of sample analysis for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_HOLDING_TIME,NA,Sample holding time for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_LAB_FLAG,NA,Flag from laboratory for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_LAB_SAMPLE_ID,NA,Laboratory Sample ID for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_MDL,NA,Minimum detection limit of analyte for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_QA_FLAG,NA,QA flag associated with sample for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_RESULT,NA,Analyte value for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_RL,NA,Reporting limit for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALUMINUM_UNITS,NA,Units for Aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AM_EMERGENT,NA,"Emergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AM_FLOATING,NA,"Floating aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AM_SUBMERGENT,NA,"Submergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AM_TOTALCOVER,NA,"Total cover aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMFCALL,NA,Aquatic macrophytes: fractional cover of all macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFCEMERGENT,NA,Aquatic macrophytes: fractional cover of emergent macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFCFLOATING,NA,Aquatic macrophytes: fractional cover of floating macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFCSUBMERGENT,NA,Aquatic macrophytes: fractional cover of submergent macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFPALL,NA,Aquatic macrophytes: fractional presence of all macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFPEMERGENT,NA,Aquatic macrophytes: fractional presence of emergent macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFPFLOATING,NA,Aquatic macrophytes: fractional presence of floating macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMFPSUBMERGENT,NA,Aquatic macrophytes: fractional presence of submergent macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMIDALL,NA,Aquatic macrophytes: interdecimile cover of all macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMIQALL,NA,Aquatic macrophytes: interquartile cover of all macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMITOTAL,NA,Aquatic macrophytes: index of total cover of aquatic macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMMONIA_N_BATCH_ID,NA,Batch ID from lab for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_DATE_ANALYZED,NA,Date of sample analysis for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_HOLDING_TIME,NA,Sample holding time for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_LAB_FLAG,NA,Flag from laboratory for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_LAB_SAMPLE_ID,NA,Laboratory Sample ID for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_MDL,NA,Minimum detection limit of analyte for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_QA_FLAG,NA,QA flag associated with sample for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_RESULT,NA,Analyte value for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_RL,NA,Reporting limit for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMMONIA_N_UNITS,NA,Units for Ammonia as N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMNALL,NA,Aquatic macrophytes: number of stations with Total cover data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMNEMERGENT,NA,Aquatic macrophytes: number of stations with Emergent data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMNFLOATING,NA,Aquatic macrophytes: number of stations with Floating data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMNSUBMERGENT,NA,Aquatic macrophytes: number of stations with Submergent data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMPHNIND,NA,Number of Amphipoda individuals in sample,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPHNTAX,NA,No. of Amphipoda taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPHPIND,NA,% Amphipoda individuals,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPHPTAX,NA,% Amphipoda taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMVALL,NA,Aquatic macrophytes: std dev. Cover of all macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMVEMERGENT,NA,Aquatic macrophytes: std dev. Cover of Emergent macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMVFLOATING,NA,Aquatic macrophytes: std dev. Cover of Floating macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMVSUBMERGENT,NA,Aquatic macrophytes: std dev. Cover of Submergent macrophytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANC_BATCH_ID,NA,Batch ID from lab for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_DATE_ANALYZED,NA,Date of sample analysis for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_FLAG,NA,Flag for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_HOLDING_TIME,NA,Sample holding time for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_LAB_FLAG,NA,Flag from laboratory for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_LAB_SAMPLE_ID,NA,Laboratory Sample ID for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_QA_FLAG,NA,QA flag associated with sample for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_RESULT,NA,Analyte value for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANC_UNITS,NA,Units for Acid Neutralizing Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANGLE,NA,Bank angle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AREA_HA,NA,Surface area of lake based on NHD polygon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AREACLS,NA,Lake Area Class (ha) developed for use in indicator evaluation.  Note the categories are different from those used for design purposes (SIZE_CLASS),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARRIVAL_TIME,datetime,Time of arrival to index site,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASPLAN300_PTAX,NA,Percent of distinct taxa that are within the rotifer family Asplanchnidae in 300-count subsamples (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASSEMBLAGE_NAME,NA,Assemblage of taxon,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ATRAZINE_BATCH_ID,NA,Batch ID from lab for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_DATE_ANALYZED,datetime,Date sample was processed by lab for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_DATE_RECEIVED,datetime,Date sample was received by lab for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_FLAG,NA,Flag for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_HOLDING_TIME,days,Time between sampling and lab analysis (days) for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_LOQ,ppb,Quality information: Limit of Quantitation (LOQ) associated with sample for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_MDL,ppb,Quality information: Method Detection Limit (MDL) associated with sample for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_QA_FLAG,NA,QA flag for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_RESULT,ppb,Analyte value for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRAZINE_UNITS,NA,Units for Atrazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATZ_DETECT,NA,Atrazine detection class,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ATZ_LOC04,NA,Atrazine condition class based on the 2012 EPA Level of Concern,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ATZ_LOC10,NA,Atrazine condition class based on the former EPA Level of Concern,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BENT_COND,NA,Benthic macroinvertebrate MMI condition class,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BFFFLAT,NA,Bank features: fraction with flat banks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFFGRADUAL,NA,Bank features: fraction with gradual banks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFFSTEEP,NA,Bank features: fraction with steep banks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFFVERTICAL,NA,Bank features: fraction with vertical banks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFNANGLE,NA,Bank features: number of stations with bank angle data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFNHORIZDIST,NA,Bank features: count of horizontal distance to highwater mark,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFNHORIZDIST_DD,NA,Bank features: count of horizontal distance to drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFNVERTHEIGHT,NA,Bank features: count of vertical height to highwater mark,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFNVERTHEIGHT_DD,NA,Bank features: count of vertical height to drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFOANGLE,NA,Bank features: bank angle mode,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFXHORIZDIST,NA,Bank features: horizontal distance to highwater mark,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFXHORIZDIST_DD,NA,Bank features: horizontal distance to drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFXVERTHEIGHT,NA,Bank features: vertical height to highwater mark,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFXVERTHEIGHT_DD,NA,Bank features: vertical height to drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BORD_LAKE,NA,State border lake = Yes; state non-border lake = No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOSM_DEN,NA,Density of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM_NAT_BIO,NA,Biomass of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM_NAT_DEN,NA,Density of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM_NAT_PBIO,NA,Percent of biomass represented by native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM_NAT_PIND,NA,Percent of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM_NAT_PTAX,NA,Percent of distinct native taxa within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM_PIND,NA,Percent of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM300_NAT_BIO,NA,Biomass of native individuals within the cladoceran family Bosminidae in 300-count subsampless (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM300_NAT_PBIO,NA,Percent of biomass represented by native individuals within the cladoceran family Bosiminidae in 300-count subsampless (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM300_NAT_PIND,NA,Percent of native individuals within the cladoceran family Bosiminidae in 300-count subsampless (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM300_NAT_PTAX,NA,Percent of distinct native taxa that are within the cladoceran family Bosminidae in 300-count subsampless (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOSM300_PIND,NA,Biomass of native individuals within the cladoceran family Bosiminidae in 300-count subsampless (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BS_BEDROCK,NA,"Bottom substrate bedrock (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_BOULDER,NA,"Bottom substrate boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_COBBLE,NA,"Bottom substrate cobble (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_COLOR,NA,Bottom substrate color,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_COLOR_DESC,NA,Description of substrate color,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
