oreder,DATA_COLUMN,parameter,column_name,LABEL
1,UID,column_name,UID,Unique site visit ID
2,LAB,column_name,LAB,Lab name
3,TRIA_SAMPLE_ID,column_name,TRIA_SAMPLE_ID,Triazine sample ID
4,ATRAZINE_BATCH_ID,ATRAZINE,BATCH_ID,Batch ID from lab for Atrazine
4,ATRAZINE_DATE_ANALYZED,ATRAZINE,DATE_ANALYZED,Date sample was processed by lab for Atrazine
4,ATRAZINE_DATE_RECEIVED,ATRAZINE,DATE_RECEIVED,Date sample was received by lab for Atrazine
4,ATRAZINE_FLAG,ATRAZINE,FLAG,Flag for Atrazine
4,ATRAZINE_HOLDING_TIME,ATRAZINE,HOLDING_TIME,Time between sampling and lab analysis (days) for Atrazine
4,ATRAZINE_LOQ,ATRAZINE,LOQ,Quality information: Limit of Quantitation (LOQ) associated with sample for Atrazine
4,ATRAZINE_MDL,ATRAZINE,MDL,Quality information: Method Detection Limit (MDL) associated with sample for Atrazine
4,ATRAZINE_QA_FLAG,ATRAZINE,QA_FLAG,QA flag for Atrazine
4,ATRAZINE_RESULT,ATRAZINE,RESULT,Analyte value for Atrazine
4,ATRAZINE_UNITS,ATRAZINE,UNITS,Units for Atrazine
5,AGGR_ECO3_2015,delete,,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
5,AGGR_ECO9_2015,delete,,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
5,STATE,delete,,State lake is assigned to for sampling in NLA 2012
5,DATE_COL,delete,,Date of sample collection
5,SITE_ID,delete,,Identification code for site
5,VISIT_NO,delete,,Sequential number of visit to site
5,ECO_BIO,delete,,Bioregions
5,PUBLICATION_DATE,delete,,Publication Date
