"algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07","flag","phylum","subphylum","class","subclass","order","family","genus_new","authority","note","link"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Merismopediaceae","Aphanocapsa","Aphanocapsa; Aphanocapsa conferta; Aphanocapsa delicatissima; Aphanocapsa elachista; Aphanocapsa holsatica; Aphanocapsa incerta; Aphanocapsa parasitica; Aphanocapsa planctonica","Aphanocapsa; Aphanocapsa delicatissima; Aphanocapsa elachista planctonica; Aphanocapsa grevilei; Aphanocapsa holsatica","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","","C.Nägeli, 1849","","http://algaebase.org/search/genus/detail/?genus_id=F11dc71dce43a782c&sk=0"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Synechococcaceae","Aphanothece","Aphanothece; Aphanothece clathrata; Aphanothece endophytica; Aphanothece smithii","Aphanothece; Aphanothece clathrata","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Aphanothecaceae","","C.Nägeli, 1849, nom. cons.","","http://algaebase.org/search/genus/detail/?genus_id=uf31e3eb682171010&-session=abv4:CC2E5C920c93d27824vx4F750510"
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Asterocapsa","Asterocapsa",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","Chu, H.-J. (1952)","","http://algaebase.org/search/genus/detail/?genus_id=ef2bbd033ad11ebf7&-session=abv4:CC2E5C920c7ad2E632sGFB4C9A8A"
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Chondrocystis","Chondrocystis",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","Lemmermann, 1899","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Chroococcaceae","Chroococcus","Chroococcus; Chroococcus aphanocapsoides; Chroococcus dispersus; Chroococcus distans; Chroococcus globosus; Chroococcus limneticus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus; Chroococcus planctonicus; Chroococcus prescottii; Chroococcus turgidus","Chroococcus; Chroococcus dispersus; Chroococcus limneticus; Chroococcus limneticus distans; Chroococcus limneticus subsalsus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","Nägeli, 1849","","http://algaebase.org/search/genus/detail/?genus_id=F80fe66062d5de44c&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Merismopediaceae","Coelosphaerium","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium microporum; Coelosphaerium naegelianum","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium naegelianum","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Coelosphaeriaceae","","Nägeli, 1849","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Cyanokybus","Cyanokybus",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","J.Schiller, 1956","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Chroococcaceae","Cyanosarcina","Cyanosarcina","Cyanosarcina","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","L.Kovácik, 1988","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Synechococcaceae","Dactylococcopsis","Dactylococcopsis; Dactylococcopsis fascicularis","Dactylococcopsis; Dactylococcopsis acicularis; Dactylococcopsis fascicularis","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","Hansgirg, 1888","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Gloeocapsopsis","Gloeocapsopsis",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","","Geitler ex Komárek, 1993","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Entophysalidaceae",NA,"Chlorogloea","Chlorogloea",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Entophysalidaceae","","Wille, 1900","","http://algaebase.org/search/genus/detail/?genus_id=Q64f74bcb42354b96&sk=0"
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Entophysalidaceae",NA,"Radiocystis","Radiocystis; Radiocystis geminata",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","","H.Skuja, 1948","","http://algaebase.org/search/genus/detail/?genus_id=de2d07e94819eac0d&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Gomphosphaeria","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria lacustris; Gomphosphaeria natans","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria virieuxii","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Gomphosphaeriaceae","","Kützing, 1836","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Merismopedia","Merismopedia; Merismopedia danubiana; Merismopedia duplex; Merismopedia elegans; Merismopedia glauca; Merismopedia minima; Merismopedia punctata; Merismopedia tenuissima; Merismopedia trolleri; Merismopedia warmingiana","Merismopedia; Merismopedia glauca; Merismopedia punctata; Merismopedia tenuissima","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","","F.J.F.Meyen, 1839","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Snowella","Snowella; Snowella fennica; Snowella lacustris; Snowella littoralis","Snowella; Snowella atomus; Snowella lacustris","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Coelosphaeriaceae","","A.A.Elenkin, 1938","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Synechocystis","Synechocystis; Synechocystis aquaticus; Synechocystis aquatilis; Synechocystis endobiotica","Synechocystis","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","","C.Sauvageau, 1892","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Woronichinia","Woronichinia; Woronichinia karelica; Woronichinia naegeliana","Woronichinia","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Coelosphaeriaceae","","A.A.Elenkin, 1933","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Microcystaceae","Microcystaceae","Gloeocapsa","Gloeocapsa","Gloeocapsa","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","","Kützing, 1843,","","http://algaebase.org/search/genus/detail/?genus_id=Af4b732438a7bced6&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Microcystaceae","Microcystaceae","Microcystis","Microcystis; Microcystis aeruginosa; Microcystis botrys; Microcystis flos-aquae; Microcystis natans; Microcystis smithii; Microcystis viridis; Microcystis wesenbergii","Microcystis; Microcystis aeruginosa; Microcystis firma; Microcystis flosaquae; Microcystis ichthyoblabe; Microcystis smithii; Microcystis wesenbergii","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","","Lemmermann, 1907","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Synechococcaceae",NA,"Cyanothece","Cyanothece",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Cyanothecaceae","","Komárek, 1976","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Gloeothece","Gloeothece; Gloeothece subtilis","Gloeothece","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Aphanothecaceae","","C.Nägeli, 1849","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Rhabdoderma","Rhabdoderma; Rhabdoderma lineare","Rhabdoderma; Rhabdoderma lineare","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcoideae","","Schmidle & Lauterborn, 1900","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Synechococcaceae",NA,"Rhabdogloea","Rhabdogloea; Rhabdogloea linearis; Rhabdogloea smithii",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","Dactylococcopsis","B.Schröder, 1917","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Synechococcus","Synechococcus; Synechococcus nidulans","Synechococcus; Synechococcus linearis; Synechococcus minutus","","Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcaceae","","C.Nägeli, 1849","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Microchaetaceae",NA,"Tolypothrix","Tolypothrix; Tolypothrix tenuis",NA,"","Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Tolypothrichaceae","","Kützing ex É.Bornet & C.Flahault, 1886","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Anabaena","Anabaena; Anabaena aequalis; Anabaena affinis; Anabaena angstumalis; Anabaena carmichaelii; Anabaena circinalis; Anabaena compacta; Anabaena crassa; Anabaena cylindrica; Anabaena flos-aquae; Anabaena inaequalis; Anabaena lemmermannii; Anabaena limnetica; Anabaena longicellularis; Anabaena planctonica; Anabaena pseudocompacta; Anabaena sigmoidea; Anabaena smithii; Anabaena solitaria; Anabaena spiroides; Anabaena subcylindrica; Anabaena torulosa; Anabaena variabilis; Anabaena wisconsinensis","Anabaena; Anabaena affinis; Anabaena circinalis; Anabaena circinalis macrospora; Anabaena flosaquae; Anabaena smithii; Anabaena spiroides crassa; Anabaena subcylindrica; Anabaena viguieri; Anabaena wisconsinense","","Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Nostocaceae","","Bory ex Bornet & Flahault, 1886","","http://algaebase.org/search/genus/detail/?genus_id=c9d14abc6858548dd&sk=0"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Anabaenopsis","Anabaenopsis; Anabaenopsis circularis; Anabaenopsis elenkenii; Anabaenopsis tanganyikae","Anabaenopsis; Anabaenopsis elenkinii","","Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","","V.V.Miller, 1923","","http://algaebase.org/search/genus/detail/?genus_id=U4ecd2d85454eff96&-session=abv4:CC2E5C920c81127EDFth25D6836A"
