site,sample,name,newName,description,comment
1,,AGGR_ECO3_2015,aggr_eco3_2015,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions",
1,,AGGR_ECO9_2015,aggr_eco9_2015,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",
1,,AREA_HA,area_ha,Surface area of lake based on NHD polygon,
1,,AREACLS,areacls,Lake Area Class (ha) developed for use in indicator evaluation.  Note the categories are different from those used for design purposes (SIZE_CLASS),
1,,BORD_LAKE,bord_lake,State border lake = Yes; state non-border lake = No,
1,,CAT_UNIQUE,cat_unique,Identifies the unique NLA survey design groups that require separate weight adjustments,
1,,CH0712_CAT,ch0712_cat,Unequal probability category used in change analysis for 2007-2012,
1,,CH0712_USE,ch0712_use,Include SITE_ID in change analysis for 2007-2012 ,
1,,CH0712_WGT,ch0712_wgt,Site weight for 2007-2012 change analysis,
1,,CNTYNAME,cntyname,County name,
1,,COMID2007,comid2007,NHD COMID from NLA 2007 sample frame (primary),
1,,COMID2012,comid2012,NHD common identifier for NLA 2012 sampling frame,
1,,COMIDS2007,comids2007,NHD COMIDs from NLA 2007 sample frame when multiple polygons from 2007 sample frame were combined for 2012 sample frame,
1,,DATE_COL,date_col,Date of sample collection,None
1,,DES_FTYPE,des_ftype,NLA design feature type (based on NHD feature type),
1,,DSGN12,dsgn12,Is lake included in the NLA 2012 integrated design? Included= included in NLA 2012 integrated National/State design; Excluded=Not included. These are hand-selected lakes and additional lakes selected in Oklahoma that will be sampled after 2012.,
1,,ECO_BIO,eco_bio,Bioregions,
1,,ELEVATION,elevation,"Elevation at lake coordinates (LAT_DD_N83, LON_DD_N83) from NHD Digital Elevation Map layer",
1,,EPA_REG,epa_reg,EPA Region,
1,,EVAL_NAME,eval_name,Name of Lake,
1,,EVALSTAT,evalstat,"Status assigned based on lake evaluation guidelines: TargetSampleable= Lake can be accessed and sampled; TargetNotSampled= Lake is target, but was temporarily inaccessible to sampling in 2012; TargetOther= Lake is considered target, but cannot be sampled for reasons other than physical inaccessibility or lack of access permission; AccessDenied=No permission to access and sample lake; Inaccessible-Barrier/Safety=Lake cannot be accessed and/or sampled sue to hazardous conditions or physical barriers (including access by boat); Inaccessible-Effort=Lake is too remote to visit.; Nontarget-CoastalSaline=lake is maintained primarily by overland flow from an adjacent estuary or ocean; Nontarget-Ephemeral=Lake determined to be dry during the index period during all but extremely wet years; Nontarget-MapError=no lake present at coordinates (includes lakes that have permanently dried up); Nontarget-NoRecAquatUse=Lake constructed for special purpose (e.g., sewage lagoon, stock pond); Nontarget-NotLake=Lake is either riverine (&lt; 7 d residence time) or fully developed wetland with no open water; Nontarget-Other=Lake is nontarget for other reasons; Nontarget-TooSmall+ Lake evaluated to be &lt; 1 ha in surface area; NonTarget-TooShallow= Lake had maximum depth of &lt; 1 m; NonTarget-Vegetated= Lake has &lt; 1000 m2 of open water, but is not a fully developed wetland with no open water; NotNeeded- Over sample lake that was not needed to meet sample size requirements within a state",
1,,FEOW_ID,feow_id,Freshwater Ecoregions of the World (2015),
1,,FS_EW,fs_ew,Eastern or western US Forest Service land,
