DATA_COLUMN,parameter,column_name,LABEL
SITE_ID,column_name,SITE_ID,ID assigned to each site
VISIT_NO,column_name,VISIT_NO,Sequential visit number within year
VISIT_ID,column_name,UID,ID of site visit
COMMENT_FLD_CHEM,column_name,COMMENT_FLD_CHEM,Field Sampling Comments
COMMENT_FLD_CHLA,column_name,COMMENT_FLD_CHLA,CHLA comments recorded by field crew
COMMENT_IM_CHEM,column_name,COMMENT_IM_CHEM,IM Data Validation Comments
COMMENT_LAB_CHEM,column_name,COMMENT_LAB_CHEM,Laboratory Analysis Comments
COMMENT_LAB_CHLA,column_name,COMMENT_LAB_CHLA,CHLA comments recorded by lab personnel
COMMENT_SECCHI,column_name,COMMENT_SECCHI,Comments and flag explanations for Secchi determination
DATE_FILTERED,column_name,DATE_FILTERED,Date Sample was Filtered at Lab
DATE_RECEIVED,column_name,DATE_RECEIVED,Date Sample was Received by Lab (from tracking data or WRS lab file '2007 Plan 0331081.xls')
DATECHLA,column_name,DATECHLA,Date chlorophyll a sample collected
DATEFILT_ALERT,column_name,DATEFILT_ALERT,Sample Filtered at Lab Date (DATE_FILTERED) is AFTER Sample Received by Lab Date (DATE_RECEIVED) (Y/N)
DAY_SHIP,column_name,DAY_SHIP,Number of Days between Sample Collection (DATECHEM) and Sample Filtering at Lab (DATE_FILTERED)
DAYSHIP_ALERT,column_name,DAYSHIP_ALERT,Number of Days between Sample Collection (DATECHEM) and Sample Filtering at Lab (DATE_FILTERED) Exceeded 2 Days (Y/N)
FLAG_FLD_CHLA,column_name,FLAG_FLD_CHLA,Data qualifier (Field Crew) (K=Value could not be determined U=nonstandard measurement Fn=other comment
FLAG_LAB_CHLA,column_name,FLAG_LAB_CHLA,Data qualifier (laboratory) (K=Value could not be determined S=value changed [orig. value in parentheses] B=below reporting level [3 æg/L])
FLAG_SECCHI,column_name,FLAG_SECCHI,Data Qualifier flag for Secchi determination
INDXSAMP_CHEM,column_name,INDXSAMP_CHEM,Index chhemistry sample for site (YES/NO)-typically the Visit 1 Primary sample
LAB_ID_CHEM,column_name,LAB_SAMPLE_ID,Laboratory Sample Identification Number
LAB_ID_CHLA,column_name,LAB_ID_CHLA,Laboratory sample ID
PH_FIELD_DEPTH,column_name,PH_FIELD_DEPTH,Depth at which Field pH was Measured (m)
SAMPLE_CATEGORY,column_name,SAMPLE_CATEGORY,(P)rimary or Field (D)uplicate
SAMPLE_DEPTH,column_name,SAMPLE_DEPTH,Depth of integrated sample (typically 2 m)
SAMPLE_ID_CHEM,column_name,CHEM_SAMPLE_ID,Sample ID number
SAMPLE_ID_CHLA,column_name,SAMPLE_ID_CHLA,Sample ID number
CLEAR_TO_BOTTOM,column_name,secchi_clear_to_bottom,Clear all the way to the bottom (Y/blank)
YEAR,delete,,Sample Year
SITE_TYPE,delete,,PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake
LAKE_SAMP,delete,,Evaluation status
SAMPLED,delete,,Was lake sampled? (Yes/No) drop no3_diff
DATE_COL,delete,,Date of site visit
DATECHEM,delete,,Date water chemistry sample collected (B_note: same as DATE_COL in the site info file
SAMPLED_CHEM,delete,,Site Sampled Code for Water Chemistry Data
INDXSAMP_CHLA,delete,,"Index chlorophyll sample for site (YES/NO)-typically the Visit 1 Primary sample;B_note-same as ""INDXSAMP_CHEM"""
SAMPLED_CHLA,delete,,CHLA SAMPLE COLLECTED/ANALYZED?
DATESECCHI,delete,,Date of Secchi transparency determination; Bnote: delete-same as DATE_COL
SAMPLED_SECCHI,delete,,Secchi transparency determined?
ANC_FLAG,ANC,FLAG,Flag for ANC
ANC_HT,ANC,HT,Number of Days between Sample Collection and Lab Analysis for ANC
ANC_HT_ALERT,ANC,HT_ALERT,ANC Holding Time Exceeded Limit of 7 Days (Y/N)
ANC,ANC,RESULT,Gran ANC (ueq/L)
ANDEF2,ANDEF2,RESULT,Anion Deficit using ANC [C-A] (ueq/L)
ANSUM2,ANSUM2,RESULT,Sum of Anions using ANC (ueq/L)
BALANCE2,BALANCE2,RESULT,Ion Balance using ANC (%)
CA_FLAG,CA,FLAG,Flag for CA
CA_HT,CA,HT,Number of Days between Sample Collection and Lab Analysis for CA
CA_HT_ALERT,CA,HT_ALERT,CA Holding Time Exceeded Limit of 180 Days (Y/N)
CA,CA,RESULT,Calcium (ueq/L)
CA_RL_ALERT,CA,RL_ALERT,CA Value Below Reporting Limit of 4.99 ueq/L (Y/N)
CA_PPM,CA_PPM,RESULT,Calcium (mg/L)
CATSUM,CATSUM,RESULT,Sum of Cations (ueq/L)
CHLA_HT,CHLA,HT,CHLA HOLDING TIME (days)
CHLA_HT_ALERT,CHLA,HT_ALERT,CHLA HOLDING TIME (> 28 days) ALERT (Y/N)
