DATA_COLUMN,parameter,column_name,description
UID,column_name,UID,Unique site visit ID
SAM_CODE,column_name,SAM_CODE,NOTE: not in nla2012_waterchem_meta.csv
LAB,column_name,LAB,Lab name
CHEM_SAMPLE_ID,column_name,CHEM_SAMPLE_ID,Chemistry Sample ID
CHEM_SHIP_FLAG,column_name,CHEM_SHIP_FLAG,Chemistry Shipping Flag
NUTS_SAMPLE_ID,column_name,NUTS_SAMPLE_ID,Nutrients Sample ID
NUTS_SHIP_FLAG,column_name,NUTS_SHIP_FLAG,Nutrients Shipping Flag
ALUMINUM_BATCH_ID,ALUMINUM,BATCH_ID,Batch ID from lab for Aluminum
ALUMINUM_DATE_ANALYZED,ALUMINUM,DATE_ANALYZED,Date of sample analysis for Aluminum
ALUMINUM_HOLDING_TIME,ALUMINUM,HOLDING_TIME,Sample holding time for Aluminum
ALUMINUM_LAB_FLAG,ALUMINUM,LAB_FLAG,Flag from laboratory for Aluminum
ALUMINUM_LAB_SAMPLE_ID,ALUMINUM,LAB_SAMPLE_ID,Laboratory Sample ID for Aluminum
ALUMINUM_MDL,ALUMINUM,MDL,Minimum detection limit of analyte for Aluminum
ALUMINUM_QA_FLAG,ALUMINUM,QA_FLAG,QA flag associated with sample for Aluminum
ALUMINUM_RESULT,ALUMINUM,RESULT,Analyte value for Aluminum
ALUMINUM_RL,ALUMINUM,RL,Reporting limit for Aluminum
ALUMINUM_UNITS,ALUMINUM,UNITS,Units for Aluminum
AMMONIA_N_BATCH_ID,AMMONIA_N,BATCH_ID,Batch ID from lab for Ammonia as N
AMMONIA_N_DATE_ANALYZED,AMMONIA_N,DATE_ANALYZED,Date of sample analysis for Ammonia as N
AMMONIA_N_HOLDING_TIME,AMMONIA_N,HOLDING_TIME,Sample holding time for Ammonia as N
AMMONIA_N_LAB_FLAG,AMMONIA_N,LAB_FLAG,Flag from laboratory for Ammonia as N
AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N,LAB_SAMPLE_ID,Laboratory Sample ID for Ammonia as N
AMMONIA_N_MDL,AMMONIA_N,MDL,Minimum detection limit of analyte for Ammonia as N
AMMONIA_N_QA_FLAG,AMMONIA_N,QA_FLAG,QA flag associated with sample for Ammonia as N
AMMONIA_N_RESULT,AMMONIA_N,RESULT,Analyte value for Ammonia as N
AMMONIA_N_RL,AMMONIA_N,RL,Reporting limit for Ammonia as N
AMMONIA_N_UNITS,AMMONIA_N,UNITS,Units for Ammonia as N
ANC_BATCH_ID,ANC,BATCH_ID,Batch ID from lab for Acid Neutralizing Capacity
ANC_DATE_ANALYZED,ANC,DATE_ANALYZED,Date of sample analysis for Acid Neutralizing Capacity
ANC_FLAG,ANC,FLAG,Flag for Acid Neutralizing Capacity
ANC_HOLDING_TIME,ANC,HOLDING_TIME,Sample holding time for Acid Neutralizing Capacity
ANC_LAB_FLAG,ANC,LAB_FLAG,Flag from laboratory for Acid Neutralizing Capacity
ANC_LAB_SAMPLE_ID,ANC,LAB_SAMPLE_ID,Laboratory Sample ID for Acid Neutralizing Capacity
ANC_QA_FLAG,ANC,QA_FLAG,QA flag associated with sample for Acid Neutralizing Capacity
ANC_RESULT,ANC,RESULT,Analyte value for Acid Neutralizing Capacity
ANC_UNITS,ANC,UNITS,Units for Acid Neutralizing Capacity
CALCIUM_BATCH_ID,CALCIUM,BATCH_ID,Batch ID from lab for Calcium
CALCIUM_DATE_ANALYZED,CALCIUM,DATE_ANALYZED,Date of sample analysis for Calcium
CALCIUM_FLAG,CALCIUM,FLAG,Flag for Calcium
CALCIUM_HOLDING_TIME,CALCIUM,HOLDING_TIME,Sample holding time for Calcium
CALCIUM_LAB_FLAG,CALCIUM,LAB_FLAG,Flag from laboratory for Calcium
CALCIUM_LAB_SAMPLE_ID,CALCIUM,LAB_SAMPLE_ID,Laboratory Sample ID for Calcium
CALCIUM_MDL,CALCIUM,MDL,Minimum detection limit of analyte for Calcium
CALCIUM_QA_FLAG,CALCIUM,QA_FLAG,QA flag associated with sample for Calcium
CALCIUM_RESULT,CALCIUM,RESULT,Analyte value for Calcium
CALCIUM_RL,CALCIUM,RL,Reporting limit for Calcium
CALCIUM_UNITS,CALCIUM,UNITS,Units for Calcium
CHLORIDE_BATCH_ID,CHLORIDE,BATCH_ID,Batch ID from lab for Chloride ion
CHLORIDE_DATE_ANALYZED,CHLORIDE,DATE_ANALYZED,Date of sample analysis for Chloride ion
CHLORIDE_FLAG,CHLORIDE,FLAG,Flag for Chloride ion
CHLORIDE_HOLDING_TIME,CHLORIDE,HOLDING_TIME,Sample holding time for Chloride ion
CHLORIDE_LAB_FLAG,CHLORIDE,LAB_FLAG,Flag from laboratory for Chloride ion
CHLORIDE_LAB_SAMPLE_ID,CHLORIDE,LAB_SAMPLE_ID,Laboratory Sample ID for Chloride ion
CHLORIDE_MDL,CHLORIDE,MDL,Minimum detection limit of analyte for Chloride ion
CHLORIDE_QA_FLAG,CHLORIDE,QA_FLAG,QA flag associated with sample for Chloride ion
CHLORIDE_RESULT,CHLORIDE,RESULT,Analyte value for Chloride ion
CHLORIDE_RL,CHLORIDE,RL,Reporting limit for Chloride ion
CHLORIDE_UNITS,CHLORIDE,UNITS,Units for Chloride ion
COLOR_BATCH_ID,COLOR,BATCH_ID,Batch ID from lab for Color
COLOR_DATE_ANALYZED,COLOR,DATE_ANALYZED,Date of sample analysis for Color
COLOR_FLAG,COLOR,FLAG,Flag for Color
COLOR_HOLDING_TIME,COLOR,HOLDING_TIME,Sample holding time for Color
COLOR_LAB_FLAG,COLOR,LAB_FLAG,Flag from laboratory for Color
COLOR_LAB_SAMPLE_ID,COLOR,LAB_SAMPLE_ID,Laboratory Sample ID for Color
COLOR_MDL,COLOR,MDL,Minimum detection limit of analyte for Color
COLOR_QA_FLAG,COLOR,QA_FLAG,QA flag associated with sample for Color
COLOR_RESULT,COLOR,RESULT,Analyte value for Color
COLOR_RL,COLOR,RL,Reporting limit for Color
COLOR_UNITS,COLOR,UNITS,Units for Color
COND_BATCH_ID,COND,BATCH_ID,Batch ID from lab for Conductivity
COND_DATE_ANALYZED,COND,DATE_ANALYZED,Date of sample analysis for Conductivity
COND_FLAG,COND,FLAG,Flag for Conductivity
COND_HOLDING_TIME,COND,HOLDING_TIME,Sample holding time for Conductivity
COND_LAB_FLAG,COND,LAB_FLAG,Flag from laboratory for Conductivity
COND_LAB_SAMPLE_ID,COND,LAB_SAMPLE_ID,Laboratory Sample ID for Conductivity
COND_MDL,COND,MDL,Minimum detection limit of analyte for Conductivity
COND_QA_FLAG,COND,QA_FLAG,QA flag associated with sample for Conductivity
COND_RESULT,COND,RESULT,Analyte value for Conductivity
COND_RL,COND,RL,Reporting limit for Conductivity
COND_UNITS,COND,UNITS,Units for Conductivity
DOC_BATCH_ID,DOC,BATCH_ID,Batch ID from lab for Dissolved Organic Carbon
DOC_DATE_ANALYZED,DOC,DATE_ANALYZED,Date of sample analysis for Dissolved Organic Carbon
DOC_FLAG,DOC,FLAG,Flag for Dissolved Organic Carbon
DOC_HOLDING_TIME,DOC,HOLDING_TIME,Sample holding time for Dissolved Organic Carbon
DOC_LAB_FLAG,DOC,LAB_FLAG,Flag from laboratory for Dissolved Organic Carbon
DOC_LAB_SAMPLE_ID,DOC,LAB_SAMPLE_ID,Laboratory Sample ID for Dissolved Organic Carbon
DOC_MDL,DOC,MDL,Minimum detection limit of analyte for Dissolved Organic Carbon
DOC_QA_FLAG,DOC,QA_FLAG,QA flag associated with sample for Dissolved Organic Carbon
DOC_RESULT,DOC,RESULT,Analyte value for Dissolved Organic Carbon
DOC_RL,DOC,RL,Reporting limit for Dissolved Organic Carbon
DOC_UNITS,DOC,UNITS,Units for Dissolved Organic Carbon
MAGNESIUM_BATCH_ID,MAGNESIUM,BATCH_ID,Batch ID from lab for Magnesium
MAGNESIUM_DATE_ANALYZED,MAGNESIUM,DATE_ANALYZED,Date of sample analysis for Magnesium
MAGNESIUM_FLAG,MAGNESIUM,FLAG,Flag for Magnesium
MAGNESIUM_HOLDING_TIME,MAGNESIUM,HOLDING_TIME,Sample holding time for Magnesium
MAGNESIUM_LAB_FLAG,MAGNESIUM,LAB_FLAG,Flag from laboratory for Magnesium
MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM,LAB_SAMPLE_ID,Laboratory Sample ID for Magnesium
MAGNESIUM_MDL,MAGNESIUM,MDL,Minimum detection limit of analyte for Magnesium
MAGNESIUM_QA_FLAG,MAGNESIUM,QA_FLAG,QA flag associated with sample for Magnesium
MAGNESIUM_RESULT,MAGNESIUM,RESULT,Analyte value for Magnesium
MAGNESIUM_RL,MAGNESIUM,RL,Reporting limit for Magnesium
MAGNESIUM_UNITS,MAGNESIUM,UNITS,Units for Magnesium
NITRATE_N_BATCH_ID,NITRATE_N,BATCH_ID,Batch ID from lab for Nitrate as N
NITRATE_N_DATE_ANALYZED,NITRATE_N,DATE_ANALYZED,Date of sample analysis for Nitrate as N
NITRATE_N_FLAG,NITRATE_N,FLAG,Flag for Nitrate as N
NITRATE_N_HOLDING_TIME,NITRATE_N,HOLDING_TIME,Sample holding time for Nitrate as N
NITRATE_N_LAB_FLAG,NITRATE_N,LAB_FLAG,Flag from laboratory for Nitrate as N
NITRATE_N_LAB_SAMPLE_ID,NITRATE_N,LAB_SAMPLE_ID,Laboratory Sample ID for Nitrate as N
NITRATE_N_MDL,NITRATE_N,MDL,Minimum detection limit of analyte for Nitrate as N
NITRATE_N_QA_FLAG,NITRATE_N,QA_FLAG,QA flag associated with sample for Nitrate as N
NITRATE_N_RESULT,NITRATE_N,RESULT,Analyte value for Nitrate as N
NITRATE_N_RL,NITRATE_N,RL,Reporting limit for Nitrate as N
NITRATE_N_UNITS,NITRATE_N,UNITS,Units for Nitrate as N
NITRATE_NITRITE_N_BATCH_ID,NITRATE_NITRITE_N,BATCH_ID,Batch ID from lab for Nitrate + Nitrite as N
NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N,DATE_ANALYZED,Date of sample analysis for Nitrate + Nitrite as N
NITRATE_NITRITE_N_FLAG,NITRATE_NITRITE_N,FLAG,Flag for Nitrate + Nitrite as N
NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N,HOLDING_TIME,Sample holding time for Nitrate + Nitrite as N
NITRATE_NITRITE_N_LAB_FLAG,NITRATE_NITRITE_N,LAB_FLAG,Flag from laboratory for Nitrate + Nitrite as N
NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N,LAB_SAMPLE_ID,Laboratory Sample ID for Nitrate + Nitrite as N
NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N,MDL,Minimum detection limit of analyte for Nitrate + Nitrite as N
NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N,QA_FLAG,QA flag associated with sample for Nitrate + Nitrite as N
NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N,RESULT,Analyte value for Nitrate + Nitrite as N
NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N,RL,Reporting limit for Nitrate + Nitrite as N
NITRATE_NITRITE_N_UNITS,NITRATE_NITRITE_N,UNITS,Units for Nitrate + Nitrite as N
NITRITE_N_BATCH_ID,NITRITE_N,BATCH_ID,Batch ID from lab for Nitrite as N
NITRITE_N_DATE_ANALYZED,NITRITE_N,DATE_ANALYZED,Date of sample analysis for Nitrite as N
NITRITE_N_HOLDING_TIME,NITRITE_N,HOLDING_TIME,Sample holding time for Nitrite as N
NITRITE_N_LAB_FLAG,NITRITE_N,LAB_FLAG,Flag from laboratory for Nitrite as N
NITRITE_N_LAB_SAMPLE_ID,NITRITE_N,LAB_SAMPLE_ID,Laboratory Sample ID for Nitrite as N
NITRITE_N_MDL,NITRITE_N,MDL,Minimum detection limit of analyte for Nitrite as N
NITRITE_N_QA_FLAG,NITRITE_N,QA_FLAG,QA flag associated with sample for Nitrite as N
NITRITE_N_RESULT,NITRITE_N,RESULT,Analyte value for Nitrite as N
NITRITE_N_RL,NITRITE_N,RL,Reporting limit for Nitrite as N
NITRITE_N_UNITS,NITRITE_N,UNITS,Units for Nitrite as N
NTL_BATCH_ID,NTL,BATCH_ID,Batch ID from lab for Total Nitrogen
NTL_DATE_ANALYZED,NTL,DATE_ANALYZED,Date of sample analysis for Total Nitrogen
NTL_FLAG,NTL,FLAG,Flag for Total Nitrogen
NTL_HOLDING_TIME,NTL,HOLDING_TIME,Sample holding time for Total Nitrogen
NTL_LAB_FLAG,NTL,LAB_FLAG,Flag from laboratory for Total Nitrogen
NTL_LAB_SAMPLE_ID,NTL,LAB_SAMPLE_ID,Laboratory Sample ID for Total Nitrogen
NTL_MDL,NTL,MDL,Minimum detection limit of analyte for Total Nitrogen
NTL_QA_FLAG,NTL,QA_FLAG,QA flag associated with sample for Total Nitrogen
NTL_RESULT,NTL,RESULT,Analyte value for Total Nitrogen
NTL_RL,NTL,RL,Reporting limit for Total Nitrogen
NTL_UNITS,NTL,UNITS,Units for Total Nitrogen
PH_BATCH_ID,PH,BATCH_ID,Batch ID from lab for pH
PH_DATE_ANALYZED,PH,DATE_ANALYZED,Date of sample analysis for pH
PH_FLAG,PH,FLAG,Flag for pH
PH_HOLDING_TIME,PH,HOLDING_TIME,Sample holding time for pH
PH_LAB_FLAG,PH,LAB_FLAG,Flag from laboratory for pH
PH_LAB_SAMPLE_ID,PH,LAB_SAMPLE_ID,Laboratory Sample ID for pH
PH_QA_FLAG,PH,QA_FLAG,QA flag associated with sample for pH
PH_RESULT,PH,RESULT,Analyte value for pH
PH_UNITS,PH,UNITS,Units for pH
POTASSIUM_BATCH_ID,POTASSIUM,BATCH_ID,Batch ID from lab for Potassium
POTASSIUM_DATE_ANALYZED,POTASSIUM,DATE_ANALYZED,Date of sample analysis for Potassium
POTASSIUM_FLAG,POTASSIUM,FLAG,Flag for Potassium
POTASSIUM_HOLDING_TIME,POTASSIUM,HOLDING_TIME,Sample holding time for Potassium
POTASSIUM_LAB_FLAG,POTASSIUM,LAB_FLAG,Flag from laboratory for Potassium
POTASSIUM_LAB_SAMPLE_ID,POTASSIUM,LAB_SAMPLE_ID,Laboratory Sample ID for Potassium
POTASSIUM_MDL,POTASSIUM,MDL,Minimum detection limit of analyte for Potassium
POTASSIUM_QA_FLAG,POTASSIUM,QA_FLAG,QA flag associated with sample for Potassium
POTASSIUM_RESULT,POTASSIUM,RESULT,Analyte value for Potassium
POTASSIUM_RL,POTASSIUM,RL,Reporting limit for Potassium
POTASSIUM_UNITS,POTASSIUM,UNITS,Units for Potassium
PTL_BATCH_ID,PTL,BATCH_ID,Batch ID from lab for Total Phosphorus
PTL_DATE_ANALYZED,PTL,DATE_ANALYZED,Date of sample analysis for Total Phosphorus
PTL_FLAG,PTL,FLAG,Flag for Total Phosphorus
PTL_HOLDING_TIME,PTL,HOLDING_TIME,Sample holding time for Total Phosphorus
PTL_LAB_FLAG,PTL,LAB_FLAG,Flag from laboratory for Total Phosphorus
PTL_LAB_SAMPLE_ID,PTL,LAB_SAMPLE_ID,Laboratory Sample ID for Total Phosphorus
PTL_MDL,PTL,MDL,Minimum detection limit of analyte for Total Phosphorus
PTL_QA_FLAG,PTL,QA_FLAG,QA flag associated with sample for Total Phosphorus
PTL_RESULT,PTL,RESULT,Analyte value for Total Phosphorus
PTL_RL,PTL,RL,Reporting limit for Total Phosphorus
PTL_UNITS,PTL,UNITS,Units for Total Phosphorus
SILICA_BATCH_ID,SILICA,BATCH_ID,Batch ID from lab for Silica
SILICA_DATE_ANALYZED,SILICA,DATE_ANALYZED,Date of sample analysis for Silica
SILICA_FLAG,SILICA,FLAG,Flag for Silica
SILICA_HOLDING_TIME,SILICA,HOLDING_TIME,Sample holding time for Silica
SILICA_LAB_FLAG,SILICA,LAB_FLAG,Flag from laboratory for Silica
SILICA_LAB_SAMPLE_ID,SILICA,LAB_SAMPLE_ID,Laboratory Sample ID for Silica
SILICA_MDL,SILICA,MDL,Minimum detection limit of analyte for Silica
SILICA_QA_FLAG,SILICA,QA_FLAG,QA flag associated with sample for Silica
SILICA_RESULT,SILICA,RESULT,Analyte value for Silica
SILICA_RL,SILICA,RL,Reporting limit for Silica
SILICA_UNITS,SILICA,UNITS,Units for Silica
SODIUM_BATCH_ID,SODIUM,BATCH_ID,Batch ID from lab for Sodium
SODIUM_DATE_ANALYZED,SODIUM,DATE_ANALYZED,Date of sample analysis for Sodium
SODIUM_FLAG,SODIUM,FLAG,Flag for Sodium
SODIUM_HOLDING_TIME,SODIUM,HOLDING_TIME,Sample holding time for Sodium
SODIUM_LAB_SAMPLE_ID,SODIUM,LAB_SAMPLE_ID,Laboratory Sample ID for Sodium
SODIUM_MDL,SODIUM,MDL,Minimum detection limit of analyte for Sodium
SODIUM_QA_FLAG,SODIUM,QA_FLAG,QA flag associated with sample for Sodium
SODIUM_RESULT,SODIUM,RESULT,Analyte value for Sodium
SODIUM_RL,SODIUM,RL,Reporting limit for Sodium
SODIUM_UNITS,SODIUM,UNITS,Units for Sodium
SULFATE_BATCH_ID,SULFATE,BATCH_ID,Batch ID from lab for Sulfate
SULFATE_DATE_ANALYZED,SULFATE,DATE_ANALYZED,Date of sample analysis for Sulfate
SULFATE_FLAG,SULFATE,FLAG,Flag for Sulfate
SULFATE_HOLDING_TIME,SULFATE,HOLDING_TIME,Sample holding time for Sulfate
SULFATE_LAB_FLAG,SULFATE,LAB_FLAG,Flag from laboratory for Sulfate
SULFATE_LAB_SAMPLE_ID,SULFATE,LAB_SAMPLE_ID,Laboratory Sample ID for Sulfate
SULFATE_MDL,SULFATE,MDL,Minimum detection limit of analyte for Sulfate
SULFATE_QA_FLAG,SULFATE,QA_FLAG,QA flag associated with sample for Sulfate
SULFATE_RESULT,SULFATE,RESULT,Analyte value for Sulfate
SULFATE_RL,SULFATE,RL,Reporting limit for Sulfate
SULFATE_UNITS,SULFATE,UNITS,Units for Sulfate
TOC_BATCH_ID,TOC,BATCH_ID,Batch ID from lab for Total Organic Carbon
TOC_HOLDING_TIME,TOC,HOLDING_TIME,Sample holding time for Total Organic Carbon
TOC_RESULT,TOC,RESULT,Analyte value for Total Organic Carbon
TOC_UNITS,TOC,UNITS,Units for Total Organic Carbon
TSS_BATCH_ID,TSS,BATCH_ID,Batch ID from lab for Total Suspended Solids
TSS_DATE_ANALYZED,TSS,DATE_ANALYZED,Date of sample analysis for Total Suspended Solids
TSS_FLAG,TSS,FLAG,Flag for Total Suspended Solids
TSS_HOLDING_TIME,TSS,HOLDING_TIME,Sample holding time for Total Suspended Solids
TSS_LAB_SAMPLE_ID,TSS,LAB_SAMPLE_ID,Laboratory Sample ID for Total Suspended Solids
TSS_MDL,TSS,MDL,Minimum detection limit of analyte for Total Suspended Solids
TSS_QA_FLAG,TSS,QA_FLAG,QA flag associated with sample for Total Suspended Solids
TSS_RESULT,TSS,RESULT,Analyte value for Total Suspended Solids
