order,DATA_COLUMN,parameter,column_name,rl,units,LABEL
1,ANC_FLAG,anc,flag,,,Flag for ANC
2,ANC_HT,anc,ht,,,Number of Days between Sample Collection and Lab Analysis for ANC
3,ANC_HT_ALERT,anc,ht_alert,,,ANC Holding Time Exceeded Limit of 7 Days (Y/N)
4,ANC,anc,result,,ueq/L,Gran ANC (ueq/L)
5,ANDEF2,andef2,result,,ueq/L,Anion Deficit using ANC [C-A] (ueq/L)
6,ANSUM2,ansum2,result,,ueq/L,Sum of Anions using ANC (ueq/L)
7,BALANCE2,balance2,result,,%,Ion Balance using ANC (%)
8,CA_FLAG,calcium,flag,,,Flag for CA
9,CA_HT,calcium,ht,,,Number of Days between Sample Collection and Lab Analysis for CA
10,CA_HT_ALERT,calcium,ht_alert,,,CA Holding Time Exceeded Limit of 180 Days (Y/N)
11,CA,delete,,4.99,ueq/L,Calcium (ueq/L)
12,CA_RL_ALERT,calcium,rl_alert,,,CA Value Below Reporting Limit of 4.99 ueq/L (Y/N)
13,CA_PPM,calcium,result,,mg/L,Calcium (mg/L)
14,CATSUM,catsum,result,,ueq/L,Sum of Cations (ueq/L)
15,CHLA_HT,chla,ht,,,CHLA HOLDING TIME (days)
16,CHLA_HT_ALERT,chla,ht_alert,,,CHLA HOLDING TIME (> 28 days) ALERT (Y/N)
17,CHLA,chla,result,0.1,ug/L,Chlorophyll a concentration (æg/L).  Calculated as CHLA_ADJ*(40/VOL_FILTERED)
18,CHLA_RL_ALERT,chla,rl_alert,,,CHLA REPORTING LIMIT (< 0.1 ug/L) ALERT (Y/N)
19,CL_FLAG,chloride,flag,,,Flag for CL
20,CL_HT,chloride,ht,,,Number of Days between Sample Collection and Lab Analysis for CL
21,CL_HT_ALERT,chloride,ht_alert,,,CL Holding Time Exceeded Limit of 7 Days (Y/N)
22,CL,delete,,5.64,ueq/L,Chloride (ueq/L)
23,CL_RL_ALERT,chloride,rl_alert,,,CL Value Below Reporting Limit of 5.64 ueq/L (Y/N)
24,CL_PPM,chloride,result,,mg/L,Chloride (mg/L)
25,COLOR_FLAG,color,flag,,,Flag for COLOR
26,COLOR_HT,color,ht,,,Number of Days between Sample Collection and Lab Analysis for COLOR
27,COLOR_HT_ALERT,color,ht_alert,,,COLOR Holding Time Exceeded Limit of 3 Days (Y/N)
28,COLOR,color,result,5,PCU,Color (PCU)
29,COLOR_RL_ALERT,color,rl_alert,,,COLOR Value Below Reporting Limit of 5.0 PCU (Y/N)
30,SITE_ID,column_name,site_id,,,ID assigned to each site
31,VISIT_NO,column_name,visit_no,,,Sequential visit number within year
32,VISIT_ID,column_name,visit_id,,,ID of site visit
33,SAMPLE_CATEGORY,column_name,sample_category,,,(P)rimary or Field (D)uplicate
34,CLEAR_TO_BOTTOM,column_name,secchi_clear_to_bottom,,,Clear all the way to the bottom (Y/blank)
35,SAMPLE_DEPTH,column_name,sample_depth,,,Depth of integrated sample (typically 2 m)
36,COMMENT_FLD_CHEM,column_name,comment_fld_chem,,,Field Sampling Comments
37,COMMENT_FLD_CHLA,column_name,comment_fld_chla,,,CHLA comments recorded by field crew
38,COMMENT_IM_CHEM,column_name,comment_im_chem,,,IM Data Validation Comments
39,COMMENT_LAB_CHEM,column_name,comment_lab_chem,,,Laboratory Analysis Comments
40,COMMENT_LAB_CHLA,column_name,comment_lab_chla,,,CHLA comments recorded by lab personnel
41,COMMENT_SECCHI,column_name,comment_secchi,,,Comments and flag explanations for Secchi determination
42,DATECHLA,column_name,datechla,,,Date chlorophyll a sample collected
43,DATE_RECEIVED,column_name,date_received,,,Date Sample was Received by Lab (from tracking data or WRS lab file '2007 Plan 0331081.xls')
44,DATE_FILTERED,column_name,date_filtered,,,Date Sample was Filtered at Lab
45,DATEFILT_ALERT,column_name,datefilt_alert,,,Sample Filtered at Lab Date (DATE_FILTERED) is AFTER Sample Received by Lab Date (DATE_RECEIVED) (Y/N)
46,DAY_SHIP,column_name,day_ship,,,Number of Days between Sample Collection (DATECHEM) and Sample Filtering at Lab (DATE_FILTERED)
47,DAYSHIP_ALERT,column_name,dayship_alert,,,Number of Days between Sample Collection (DATECHEM) and Sample Filtering at Lab (DATE_FILTERED) Exceeded 2 Days (Y/N)
48,FLAG_FLD_CHLA,column_name,flag_fld_chla,,,Data qualifier (Field Crew) (K=Value could not be determined U=nonstandard measurement Fn=other comment
49,FLAG_LAB_CHLA,column_name,flag_lab_chla,,,Data qualifier (laboratory) (K=Value could not be determined S=value changed [orig. value in parentheses] B=below reporting level [3 æg/L])
50,FLAG_SECCHI,column_name,flag_secchi,,,Data Qualifier flag for Secchi determination
51,INDXSAMP_CHEM,delete,,,,Index chhemistry sample for site (YES/NO)-typically the Visit 1 Primary sample
52,LAB_ID_CHEM,column_name,lab_sample_id,,,Laboratory Sample Identification Number
53,LAB_ID_CHLA,column_name,lab_id_chla,,,Laboratory sample ID
54,PH_FIELD_DEPTH,column_name,ph_field_depth,,,Depth at which Field pH was Measured (m)
55,SAMPLE_ID_CHEM,column_name,chem_sample_id,,,Sample ID number
56,SAMPLE_ID_CHLA,column_name,sample_id_chla,,,Sample ID number
57,CONCAL2,concal2,result,,uS/cm,Calculated Conductivity w/ANC (uS/cm)
58,COND_FLAG,cond,flag,,,Flag for COND
59,COND_HT,cond,ht,,,Number of Days between Sample Collection and Lab Analysis for COND
60,COND_HT_ALERT,cond,ht_alert,,,COND Holding Time Exceeded Limit of 7 Days (Y/N)
61,COND,cond,result,2,uS/cm,Conductivity (uS/cm @ 25 C)
62,COND_RL_ALERT,cond,rl_alert,,,COND Value Below Reporting Limit of 2.0 uS/cm @ 25 C (Y/N)
63,CONDHO2,condho2,result,,uS/cm,D-H-O Calc. Cond. w/ANC (uS/cm)
64,YEAR,delete,,,,Sample Year
65,SITE_TYPE,delete,,,,PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake
