DATA_COLUMN,parameter,column_name,description
UID,column_name,uid,Unique site visit ID
LAB,column_name,lab,Lab name
CHEM_SAMPLE_ID,column_name,chem_sample_id,Chemistry Sample ID
CHEM_SHIP_FLAG,column_name,chem_ship_flag,Chemistry Shipping Flag
NUTS_SAMPLE_ID,column_name,nuts_sample_id,Nutrients Sample ID
NUTS_SHIP_FLAG,column_name,nuts_ship_flag,Nutrients Shipping Flag
SAM_CODE,delete,,"NOTE: not in nla2012_waterchem_meta.csv; only used for waterchem data; all values=""REGULAR""; delete"
ALUMINUM_BATCH_ID,aluminum,batch_id,Batch ID from lab for Aluminum
ALUMINUM_DATE_ANALYZED,aluminum,date_analyzed,Date of sample analysis for Aluminum
ALUMINUM_HOLDING_TIME,aluminum,ht,Sample holding time for Aluminum
ALUMINUM_LAB_FLAG,aluminum,lab_flag,Flag from laboratory for Aluminum
ALUMINUM_LAB_SAMPLE_ID,aluminum,lab_sample_id,Laboratory Sample ID for Aluminum
ALUMINUM_MDL,aluminum,mdl,Minimum detection limit of analyte for Aluminum
ALUMINUM_QA_FLAG,aluminum,qa_flag,QA flag associated with sample for Aluminum
ALUMINUM_RESULT,aluminum,result,Analyte value for Aluminum
ALUMINUM_RL,aluminum,rl,Reporting limit for Aluminum
ALUMINUM_UNITS,aluminum,units,Units for Aluminum
AMMONIA_N_BATCH_ID,ammonia_n,batch_id,Batch ID from lab for Ammonia as N
AMMONIA_N_DATE_ANALYZED,ammonia_n,date_analyzed,Date of sample analysis for Ammonia as N
AMMONIA_N_HOLDING_TIME,ammonia_n,ht,Sample holding time for Ammonia as N
AMMONIA_N_LAB_FLAG,ammonia_n,lab_flag,Flag from laboratory for Ammonia as N
AMMONIA_N_LAB_SAMPLE_ID,ammonia_n,lab_sample_id,Laboratory Sample ID for Ammonia as N
AMMONIA_N_MDL,ammonia_n,mdl,Minimum detection limit of analyte for Ammonia as N
AMMONIA_N_QA_FLAG,ammonia_n,qa_flag,QA flag associated with sample for Ammonia as N
AMMONIA_N_RESULT,ammonia_n,result,Analyte value for Ammonia as N
AMMONIA_N_RL,ammonia_n,rl,Reporting limit for Ammonia as N
AMMONIA_N_UNITS,ammonia_n,units,Units for Ammonia as N
ANC_BATCH_ID,anc,batch_id,Batch ID from lab for Acid Neutralizing Capacity
ANC_DATE_ANALYZED,anc,date_analyzed,Date of sample analysis for Acid Neutralizing Capacity
ANC_FLAG,anc,flag,Flag for Acid Neutralizing Capacity
ANC_HOLDING_TIME,anc,ht,Sample holding time for Acid Neutralizing Capacity
ANC_LAB_FLAG,anc,lab_flag,Flag from laboratory for Acid Neutralizing Capacity
ANC_LAB_SAMPLE_ID,anc,lab_sample_id,Laboratory Sample ID for Acid Neutralizing Capacity
ANC_QA_FLAG,anc,qa_flag,QA flag associated with sample for Acid Neutralizing Capacity
ANC_RESULT,anc,result,Analyte value for Acid Neutralizing Capacity
ANC_UNITS,anc,units,Units for Acid Neutralizing Capacity
CALCIUM_BATCH_ID,calcium,batch_id,Batch ID from lab for Calcium
CALCIUM_DATE_ANALYZED,calcium,date_analyzed,Date of sample analysis for Calcium
CALCIUM_FLAG,calcium,flag,Flag for Calcium
CALCIUM_HOLDING_TIME,calcium,ht,Sample holding time for Calcium
