name,2007,2012,definition
batch_id,,1,Batch ID from lab
chem_sample_id,,1,Chemistry Sample ID
chem_ship_flag,,1,Chemistry Shipping Flag
clear_to_bottom,1,1,Lake clear to the bottom; if Y (yes) secchi reading should be NA
comment_fld,1,,Field Sampling Comments
comment_im_chem,1,,IM Data Validation Comments
comment_lab,1,,Laboratory Analysis Comments
comment_ph,1,,Field pH comment from Profile_do_com data
comment_secchi,1,,Comments and flag explanations for Secchi determination
date_analyzed,,1,Date of sample analysis
date_filtered,,1,Date sample filtered
date_filtered,1,,Date Sample was Filtered at Lab
date_received,,1,Date sample received by laboratory
date_received,1,,Date Sample was Received by Lab (from tracking data or WRS lab file '2007 Plan 0331081.xls')
datechla,1,,Date chlorophyll a sample collected
datefilt_alert,1,,Sample Filtered at Lab Date (DATE_FILTERED) is AFTER Sample Received by Lab Date (DATE_RECEIVED) (Y/N)
day_ship,1,,Number of Days between Sample Collection (DATECHEM) and Sample Filtering at Lab (DATE_FILTERED)
dayship_alert,1,,Number of Days between Sample Collection (DATECHEM) and Sample Filtering at Lab (DATE_FILTERED) Exceeded 2 Days (Y/N)
dilution_factor,,1,Dilution factor used in chlorophyll calculation
duplicate,1,,(P)rimary or Field (D)uplicate; original name: SAMPLE_CATEGORY
extract,,1,Chlorophyll a in laboratory extract (raw)
flag,1,1,Flag
flag_fld_chla,1,,Data qualifier (Field Crew) (K=Value could not be determined U=nonstandard measurement Fn=other comment
flag_lab_chla,1,,Data qualifier (laboratory) (K=Value could not be determined S=value changed [orig. value in parentheses] B=below reporting level [3 æg/L])
flag_secchi,1,,Data Qualifier flag for Secchi determination
ht,1,1,Sample holding time; time between sampling and lab analysis (days)
ht_alert,1,,Holding Time Exceeded Limit (Y?N)
lab,,1,Lab name
lab_comment,,1,Laboratory comment 
lab_flag,,1,Flag from laboratory
lab_id,1,,Laboratory sample ID
lab_sample_id,,1,Laboratory Sample ID
loq,,1, Limit of Quantitation (LOQ) associated with sample
mdl,,1,Minimum detection limit of analyte
nuts_sample_id,,1,Nutrients Sample ID
nuts_ship_flag,,1,Nutrients Shipping Flag
parameter,1,1,What was measured
qa_flag,,1,QA flag associated with sample
result,1,1,Measured value for parameter
rl,1,1,Reporting limit
rl_alert,1,,Value Below Reporting Limit
sample_depth,1,,Depth of integrated sample (typically 2 m)
sample_id,1,,Laboratory Sample Identification Number
samplevol,,1,Volume of sample from field (chla)
source,1,1,Source file for data
tria_sample_id,,1,Triazine sample ID (atrazine)
uid,1,1,Unique site visit ID; 
units,1,1,measurement units
usgs_id,1,,USGS Sample Identification Number for 2007 Algal Toxin analysis
volume_adjust,,1,Sample volume adjustment (chla)
