"phylum","subphylum","class","subclass","order","family","genus","genus_new","authority","sp07","sp12","flag","note","link"
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","Aphanocapsa","","C.Nägeli, 1849","Aphanocapsa; Aphanocapsa delicatissima; Aphanocapsa elachista planctonica; Aphanocapsa grevilei; Aphanocapsa holsatica","Aphanocapsa; Aphanocapsa conferta; Aphanocapsa delicatissima; Aphanocapsa elachista; Aphanocapsa holsatica; Aphanocapsa incerta; Aphanocapsa parasitica; Aphanocapsa planctonica","","","http://algaebase.org/search/genus/detail/?genus_id=F11dc71dce43a782c&sk=0"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Aphanothecaceae","Aphanothece","","C.Nägeli, 1849, nom. cons.","Aphanothece; Aphanothece clathrata","Aphanothece; Aphanothece clathrata; Aphanothece endophytica; Aphanothece smithii","","","http://algaebase.org/search/genus/detail/?genus_id=uf31e3eb682171010&-session=abv4:CC2E5C920c93d27824vx4F750510"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Asterocapsa","","Chu, H.-J. (1952)",NA,"Asterocapsa","","","http://algaebase.org/search/genus/detail/?genus_id=ef2bbd033ad11ebf7&-session=abv4:CC2E5C920c7ad2E632sGFB4C9A8A"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Chondrocystis","","Lemmermann, 1899",NA,"Chondrocystis","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Chroococcus","","Nägeli, 1849","Chroococcus; Chroococcus dispersus; Chroococcus limneticus; Chroococcus limneticus distans; Chroococcus limneticus subsalsus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus","Chroococcus; Chroococcus aphanocapsoides; Chroococcus dispersus; Chroococcus distans; Chroococcus globosus; Chroococcus limneticus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus; Chroococcus planctonicus; Chroococcus prescottii; Chroococcus turgidus","","","http://algaebase.org/search/genus/detail/?genus_id=F80fe66062d5de44c&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Coelosphaeriaceae","Coelosphaerium","","Nägeli, 1849","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium naegelianum","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium microporum; Coelosphaerium naegelianum","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Cyanokybus","","J.Schiller, 1956",NA,"Cyanokybus","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Cyanosarcina","","L.Kovácik, 1988","Cyanosarcina","Cyanosarcina","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Dactylococcopsis","","Hansgirg, 1888","Dactylococcopsis; Dactylococcopsis acicularis; Dactylococcopsis fascicularis","Dactylococcopsis; Dactylococcopsis fascicularis","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Chroococcaceae","Gloeocapsopsis","","Geitler ex Komárek, 1993",NA,"Gloeocapsopsis","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Entophysalidaceae","Chlorogloea","","Wille, 1900",NA,"Chlorogloea","","","http://algaebase.org/search/genus/detail/?genus_id=Q64f74bcb42354b96&sk=0"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","Radiocystis","","H.Skuja, 1948",NA,"Radiocystis; Radiocystis geminata","","","http://algaebase.org/search/genus/detail/?genus_id=de2d07e94819eac0d&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Gomphosphaeriaceae","Gomphosphaeria","","Kützing, 1836","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria virieuxii","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria lacustris; Gomphosphaeria natans","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","Merismopedia","","F.J.F.Meyen, 1839","Merismopedia; Merismopedia glauca; Merismopedia punctata; Merismopedia tenuissima","Merismopedia; Merismopedia danubiana; Merismopedia duplex; Merismopedia elegans; Merismopedia glauca; Merismopedia minima; Merismopedia punctata; Merismopedia tenuissima; Merismopedia trolleri; Merismopedia warmingiana","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Coelosphaeriaceae","Snowella","","A.A.Elenkin, 1938","Snowella; Snowella atomus; Snowella lacustris","Snowella; Snowella fennica; Snowella lacustris; Snowella littoralis","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","Synechocystis","","C.Sauvageau, 1892","Synechocystis","Synechocystis; Synechocystis aquaticus; Synechocystis aquatilis; Synechocystis endobiotica","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Coelosphaeriaceae","Woronichinia","","A.A.Elenkin, 1933","Woronichinia","Woronichinia; Woronichinia karelica; Woronichinia naegeliana","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","Gloeocapsa","","Kützing, 1843,","Gloeocapsa","Gloeocapsa","","","http://algaebase.org/search/genus/detail/?genus_id=Af4b732438a7bced6&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","Microcystis","","Lemmermann, 1907","Microcystis; Microcystis aeruginosa; Microcystis firma; Microcystis flosaquae; Microcystis ichthyoblabe; Microcystis smithii; Microcystis wesenbergii","Microcystis; Microcystis aeruginosa; Microcystis botrys; Microcystis flos-aquae; Microcystis natans; Microcystis smithii; Microcystis viridis; Microcystis wesenbergii","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Cyanothecaceae","Cyanothece","","Komárek, 1976",NA,"Cyanothece","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Aphanothecaceae","Gloeothece","","C.Nägeli, 1849","Gloeothece","Gloeothece; Gloeothece subtilis","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcoideae","Rhabdoderma","","Schmidle & Lauterborn, 1900","Rhabdoderma; Rhabdoderma lineare","Rhabdoderma; Rhabdoderma lineare","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Chroococcales","Microcystaceae","Rhabdogloea","Dactylococcopsis","B.Schröder, 1917",NA,"Rhabdogloea; Rhabdogloea linearis; Rhabdogloea smithii","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcaceae","Synechococcus","","C.Nägeli, 1849","Synechococcus; Synechococcus linearis; Synechococcus minutus","Synechococcus; Synechococcus nidulans","","",""
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Tolypothrichaceae","Tolypothrix","","Kützing ex É.Bornet & C.Flahault, 1886",NA,"Tolypothrix; Tolypothrix tenuis","","",""
