"site_id","aggr_eco3_2015","aggr_eco9_2015","aquacultur","area_cat7","area_ha","areacls","bord_lake","cat_unique","ch0712_cat","ch0712_use","ch0712_wgt","cntyname","comid2007","comid2012","comids2007","des_ftype","disposal","dsgn_cat","dsgn12","eco_bio","eco_l3_nam","eco_nuta","eco3_x_origin","elevation","epa_reg","eval_name","evalstat","evaporate","feow_id","fs_ew","fw_eco3","fw_eco9","gnis_id","gnis_name","huc2","huc8","index_samp","lake_origin","lake_origin12","lakearea","lakename","lat_dd83","lon_dd83","maj_basin","mdcaty","meter_deep","miss_basin","na_l1code","na_l2code","na_l3code","nars_name","nes_lake","neslake","neslake_id","nesstoret","nhdname","non_saline","nut_reg","nutreg_name","open_water","own_type","ownshp","panel","perim_km","perm_water","phys_acces","publication_date","rchcode","reachcode","ref_cluster","ref_nutr","refclus_name","repeat_visit","rt_nla","sewage","siteid_07","sitesamp","sitetype","size_class","sld","srfc_area","st_dsgn","st_mdcaty","st_panel","st_siteid","st_stratum","st_wgt_all","st_wgt_cat","st_wgt_dsgn","state","state_name","state_nla","state_pcnt","statecty","status","status_dsk","status_fld","status_st","status_ver","stratum","tnt","tnt_st","urban","us_l3code","us_l3code_2015","us_l4code","us_l4code_2015","wgt_all","wgt_cat","wgt_dsgn","xcoord","ycoord"
"NLA06608-0001",NA,NA,"No","(50,100]",66.2930555,NA,NA,NA,NA,NA,NA,"GLACIER",9301511,NA,NA,NA,"No","WMT_MT_(50,100]",NA,NA,"Canadian Rockies","II","WMTNS NATURAL",1605.73,"Region_8",NA,NA,"No",NA,NA,"WMTNS","WMT",NA,NA,10,10010001,"Secchi_Samp","NATURAL",NA,0.662930555,"Lake Wurdeman",48.97902855,-114.0218399,NA,"0.028208177","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wurdeman, Lake","Yes","II","Western Forested Mountains","Yes",NA,NA,"Panel_1",3.178509805,"Yes","Yes",NA,NA,10010001000311,"F","Y","Western Mountains: High-elevation, cold, deep northern lakes and reservoirs",NA,"REF","No",NA,"YES","PROB_Lake","03:>50-100 ha",1.101246662,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MT","Montana",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",41,NA,NA,NA,7.59453197,"MT",35.10944309,-1327628.088,1405394.836
"NLA06608-0002",NA,NA,"No","(10,20]",14.43799807,NA,NA,NA,NA,NA,NA,"BERKELEY",9642039,NA,NA,NA,"No","CPL_SC_(10,20]",NA,NA,"Middle Atlantic Coastal Plain","CPL","PLNLOW MAN-MADE",4.9,"Region_4",NA,NA,"No",NA,NA,"PLNLOW","CPL",NA,NA,3,3050201,"Secchi_Samp","MAN-MADE",NA,0.144379981,"Crane Pond",33.03606404,-79.98379054,NA,"0.008172009","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crane Pond","Yes","XIV","Eastern Coastal Plain","Missing",NA,NA,"Panel_1",1.743509934,"Yes","Yes",NA,NA,3050201001074,"D","N","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)","YES","SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.294392549,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"SC","South Carolina",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",63,NA,NA,NA,60.65422715,"SC",121.1909255,1479703.799,-374482.0732
"NLA06608-0003",NA,NA,"No","(4,10]",5.701736559,NA,NA,NA,NA,NA,NA,"SAN PATRICIO",3169452,NA,NA,NA,"No","(4,10]",NA,NA,"Western Gulf Coastal Plain","CPL","PLNLOW NATURAL",17.6,"Region_6",NA,NA,"No",NA,NA,"PLNLOW","CPL",NA,NA,12,12110111,"Secchi_Samp","NATURAL",NA,0.057017366,"Wilderness Lake",28.04774206,-97.85986605,NA,"0.001312891","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","Yes",NA,NA,"Panel_1",1.265008306,"Yes","Yes",NA,NA,12110111000589,"D","N","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)","YES","TRASH","No",NA,"YES","PROB_Lake","01: <10 ha",1.494461982,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"TX","Texas",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",34,NA,NA,NA,210.5049403,"TX",754.345388,-183477.3403,-1051756.915
"NLA06608-0004",NA,NA,"No","(50,100]",65.38630923,NA,NA,NA,NA,NA,NA,"MONTEZUMA",3262179,NA,NA,NA,"No","WMT_CO_(50,100]",NA,NA,"Southern Rockies","II","WMTNS MAN-MADE",2213,"Region_8",NA,NA,"No",NA,NA,"WMTNS","WMT",NA,NA,14,14080202,"Secchi_Samp","MAN-MADE",NA,0.653863092,"Puett Reservoir",37.41662013,-108.4045832,NA,"0.04653754","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","II","Western Forested Mountains","Yes",NA,NA,"Panel_1",6.011153731,"Yes","Yes",NA,NA,14080202000455,"G","N","Western Mountains: Moderate-elevation, large southern lakes and reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","03:>50-100 ha",2.097053406,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"CO","Colorado",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",21,NA,NA,NA,9.171940265,"CO",21.28117139,-1084415.766,61530.21955
"NLA06608-0005",NA,NA,"No","(10,20]",19.48761255,NA,NA,NA,NA,NA,NA,"BLAINE",23491387,NA,NA,NA,"No","WMT_ID_(10,20]",NA,NA,"Idaho Batholith","II","WMTNS NATURAL",2138,"Region_10",NA,NA,"No",NA,NA,"WMTNS","WMT",NA,NA,17,17060201,"Secchi_Samp","NATURAL",NA,0.194876125,"Perkins Lake",43.92920926,-114.8403862,NA,"0.020429638","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","II","Western Forested Mountains","Yes",NA,NA,"Panel_1",1.962187216,"Yes","Yes",NA,NA,17060201002998,"F","N","Western Mountains: High-elevation, cold, deep northern lakes and reservoirs","YES","REF","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.253880625,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"ID","Idaho",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",16,NA,NA,NA,15.02738514,"ID",48.47728408,-1497348.779,868551.6556
"NLA06608-0006",NA,NA,"No","(50,100]",56.19974819,NA,NA,NA,NA,NA,NA,"LITCHFIELD",7711476,NA,NA,NA,"No","NAP_CT_(50,100]",NA,NA,"Northeastern Coastal Zone","CPL","EHIGH MAN-MADE",198.75,"Region_1",NA,NA,"No",NA,NA,"EHIGH","NAP",NA,NA,1,1100005,"Secchi_Samp","MAN-MADE",NA,0.561997482,"Morris Reservoir",41.68314624,-73.1465177,NA,"0.057009219","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morris Reservoir","Yes","XIV","Eastern Coastal Plain","Yes",NA,NA,"Panel_1",5.836994717,"Yes","Yes",NA,NA,1100005003028,"B","Y","E. Highlands: Cold northern lakes and reservoirs","YES","REF","No",NA,"YES","PROB_Lake","03:>50-100 ha",2.196429072,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"CT","Connecticut",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",59,NA,NA,NA,19.57749882,"CT",17.3721618,1870444.891,694667.1376
"NLA06608-0007",NA,NA,"No","(20,50]",25.4747633,NA,NA,NA,NA,NA,NA,"BARRON",13080617,NA,NA,NA,"No","UMW_WI_(20,50]",NA,NA,"North Central Hardwood Forests","VII","PLNLOW NATURAL",390.86,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,7,7050007,"Secchi_Samp","NATURAL",NA,0.254747633,"Spring Lake",45.58064546,-92.04001797,NA,"0.00595348","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",3.02298601,"Yes","Yes",NA,NA,7050007002538,"C","Y","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","YES","REF","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.689569755,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"WI","Wisconsin",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",51,NA,NA,NA,159.855637,"WI",166.3520122,309041.6284,909941.6956
"NLA06608-0008",NA,NA,"No","(20,50]",48.7370362,NA,NA,NA,NA,NA,NA,"WARREN",22250049,NA,NA,NA,"No","NESLake",NA,NA,"Western Corn Belt Plains","VI","PLNLOW MAN-MADE",261.56,"Region_7",NA,NA,"No",NA,NA,"PLNLOW","TPL",NA,NA,7,7100008,"Secchi_Samp","MAN-MADE",NA,0.487370362,"Lake Ahquabi",41.29211104,-93.59040488,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","1901",NA,"Lake Aquabi","Yes","VI","Corn Belt and Northern Great Plains","Yes",NA,NA,"Panel_1",5.71138051,"Yes","Yes",NA,NA,7100008003644,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","YES","SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",2.307844831,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"IA","Iowa",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",47,NA,NA,NA,3.396573599,"IA",7.833853361,200215.4542,427447.7852
"NLA06608-0010",NA,NA,"No","(20,50]",30.03733238,NA,NA,NA,NA,NA,NA,"OAKLAND",13173017,NA,NA,NA,"No","UMW_MI_(20,50]",NA,NA,"Southern Michigan/Northern Indiana Drift Plains","VII","PLNLOW NATURAL",284.65,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,4,4090005,"Secchi_Samp","NATURAL",NA,0.300373324,"Bogie Lake",42.61823014,-83.50588771,NA,"0.005801054","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bogie Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",2.423467747,"Yes","Yes",NA,NA,4090005001348,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","YES","SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.247388202,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MI","Michigan",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",56,NA,NA,NA,81.58117426,"MI_LP",170.7230091,1015822.849,640128.173
"NLA06608-0012",NA,NA,"No","(50,100]",177.6575126,NA,NA,NA,NA,NA,NA,"PAYNE",534289,NA,NA,NA,"No","SPL_OK_(50,100]",NA,NA,"Central Great Plains","V","PLNLOW MAN-MADE",255.6,"Region_6",NA,NA,"No",NA,NA,"PLNLOW","SPL",NA,NA,11,11050003,"Secchi_Samp","MAN-MADE",NA,1.776575126,"Cushing Lake",35.99078823,-96.87178731,NA,"0.078811688","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","V","South Central Cultivated Great Plains","Yes",NA,NA,"Panel_1",13.50645679,"Yes","Yes",NA,NA,11050003001705,"C","Y","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","YES","TRASH","No",NA,"YES","PROB_Lake","04:>100-500 ha",2.858542891,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"OK","Oklahoma",NA,NA,NA,"Target_Sampled","Do_Field",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",27,NA,NA,NA,3.451225091,"OK",12.56632614,-77893.23693,-168722.9814
