column_name,name07,name12,units07,units12,description
site_id,SITE_ID,SITE_ID,,,Identification code for site
aggr_eco3_2015,NA,AGGR_ECO3_2015,,,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
aggr_eco9_2015,NA,AGGR_ECO9_2015,,,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
aquacultur,AQUACULTUR,NA,,,Lake is a a private aquaculture waterbody (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
area_cat7,AREA_CAT7,NA,,,Lake area unequal probability category (7 categories)
area_ha,AREA_HA,AREA_HA,ha,ha,Surface area of lake based on NHD polygon
areacls,NA,AREACLS,,,Lake Area Class (ha) developed for use in indicator evaluation.  Note the categories are different from those used for design purposes (SIZE_CLASS)
bord_lake,NA,BORD_LAKE,,,State border lake = Yes; state non-border lake = No
cat_unique,NA,CAT_UNIQUE,,,Identifies the unique NLA survey design groups that require separate weight adjustments
ch0712_cat,NA,CH0712_CAT,,,Unequal probability category used in change analysis for 2007-2012
ch0712_use,NA,CH0712_USE,,,Include SITE_ID in change analysis for 2007-2012 
ch0712_wgt,NA,CH0712_WGT,,,Site weight for 2007-2012 change analysis
cntyname,CNTYNAME,CNTYNAME,,,County name
comid2007,COM_ID,COMID2007,,,NHD COMID from NLA 2007 sample frame (primary)
comid2012,NA,COMID2012,,,NHD common identifier for NLA 2012 sampling frame
comids2007,NA,COMIDS2007,,,NHD COMIDs from NLA 2007 sample frame when multiple polygons from 2007 sample frame were combined for 2012 sample frame
des_ftype,NA,DES_FTYPE,,,NLA design feature type (based on NHD feature type)
disposal,DISPOSAL,NA,,,"Lake is used for disposal (tailings, mine-tailings, etc.) (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP"
dsgn_cat,DSGN_CAT,NA,,,Probability survey design categories used to assign unequal probability of selection
dsgn12,NA,DSGN12,,,Is lake included in the NLA 2012 integrated design? Included= included in NLA 2012 integrated National/State design; Excluded=Not included. These are hand-selected lakes and additional lakes selected in Oklahoma that will be sampled after 2012.
eco_bio,NA,ECO_BIO,,,Bioregions
eco_l3_nam,ECO_L3_NAM,NA,,,Omernik level 3 ecoregion name
eco_nuta,ECO_NUTA,NA,,,NLA Aggregate Nutrient Ecoregion
eco3_x_origin,ECO3_X_ORIGIN,NA,,,WSA_ECO3 x LAKE_ORIGIN CLASS
elevation,ELEV_PT,ELEVATION,,,"Elevation at lake coordinates (LAT_DD_N83, LON_DD_N83) from NHD Digital Elevation Map layer (2012) or NED (2007); are sources the same?"
epa_reg,EPA_REG,EPA_REG,,,EPA Region
eval_name,NA,EVAL_NAME,,,Name of Lake
