"genus","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn"
"Aphanocapsa","Cyanophyceae","Chroococcaceae","Aphanocapsa","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","625","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphanothece","Cyanophyceae","Chroococcaceae","Aphanothece","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","636","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asterocapsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chondrocystis","Cyanophyceae","Chroococcaceae","Chondrocystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","816","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chroococcus","Cyanophyceae","Chroococcaceae","Chroococcus","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","654","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coelosphaerium","Cyanophyceae","Chroococcaceae","Coelosphaerium","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","791","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanokybus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanosarcina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylococcopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dactylococcopsis fascicularis","5890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gloeocapsopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlorogloea","Cyanophyceae","Entophysalidaceae","Chlorogloea","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","823","824","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Radiocystis","Cyanophyceae","Entophysalidaceae","Radiocystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","823","833","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphosphaeria","Cyanophyceae","Chroococcaceae","Gomphosphaeria","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","714","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merismopedia","Cyanophyceae","Chroococcaceae","Merismopedia","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","727","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snowella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synechocystis","Cyanophyceae","Chroococcaceae","Synechocystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","799","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woronichinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gloeocapsa","Cyanophyceae","Chroococcaceae","Gloeocapsa","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","682","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microcystis","Cyanophyceae","Chroococcaceae","Microcystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","747","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanothece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gloeothece","Cyanophyceae","Chroococcaceae","Gloeothece","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","703","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhabdoderma","Cyanophyceae","Chroococcaceae","Rhabdoderma","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","805","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhabdogloea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synechococcus","Cyanophyceae","Chroococcaceae","Synechococcus","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","773","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tolypothrix","Cyanophyceae","Scytonemataceae","Tolypothrix","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1311","1330","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anabaena","Cyanophyceae","Nostocaceae","Anabaena","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1099","1100","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anabaenopsis","Cyanophyceae","Nostocaceae","Anabaenopsis","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1099","1182","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
