"algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn","genus_id"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Merismopediaceae","Aphanocapsa","Aphanocapsa; Aphanocapsa conferta; Aphanocapsa delicatissima; Aphanocapsa elachista; Aphanocapsa holsatica; Aphanocapsa incerta; Aphanocapsa parasitica; Aphanocapsa planctonica","Aphanocapsa; Aphanocapsa delicatissima; Aphanocapsa elachista planctonica; Aphanocapsa grevilei; Aphanocapsa holsatica","Cyanophyceae","Chroococcaceae","Aphanocapsa","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,625,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Synechococcaceae","Aphanothece","Aphanothece; Aphanothece clathrata; Aphanothece endophytica; Aphanothece smithii","Aphanothece; Aphanothece clathrata","Cyanophyceae","Chroococcaceae","Aphanothece","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,636,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Asterocapsa","Asterocapsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Chondrocystis","Chondrocystis",NA,"Cyanophyceae","Chroococcaceae","Chondrocystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,816,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Chroococcaceae","Chroococcus","Chroococcus; Chroococcus aphanocapsoides; Chroococcus dispersus; Chroococcus distans; Chroococcus globosus; Chroococcus limneticus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus; Chroococcus planctonicus; Chroococcus prescottii; Chroococcus turgidus","Chroococcus; Chroococcus dispersus; Chroococcus limneticus; Chroococcus limneticus distans; Chroococcus limneticus subsalsus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus","Cyanophyceae","Chroococcaceae","Chroococcus","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,654,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Merismopediaceae","Coelosphaerium","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium microporum; Coelosphaerium naegelianum","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium naegelianum","Cyanophyceae","Chroococcaceae","Coelosphaerium","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,791,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Cyanokybus","Cyanokybus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Chroococcaceae","Cyanosarcina","Cyanosarcina","Cyanosarcina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Synechococcaceae","Dactylococcopsis","Dactylococcopsis; Dactylococcopsis fascicularis","Dactylococcopsis; Dactylococcopsis acicularis; Dactylococcopsis fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dactylococcopsis fascicularis",5890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Gloeocapsopsis","Gloeocapsopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Entophysalidaceae",NA,"Chlorogloea","Chlorogloea",NA,"Cyanophyceae","Entophysalidaceae","Chlorogloea","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,823,824,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Entophysalidaceae",NA,"Radiocystis","Radiocystis; Radiocystis geminata",NA,"Cyanophyceae","Entophysalidaceae","Radiocystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,823,833,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Gomphosphaeria","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria lacustris; Gomphosphaeria natans","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria virieuxii","Cyanophyceae","Chroococcaceae","Gomphosphaeria","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,714,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Merismopedia","Merismopedia; Merismopedia danubiana; Merismopedia duplex; Merismopedia elegans; Merismopedia glauca; Merismopedia minima; Merismopedia punctata; Merismopedia tenuissima; Merismopedia trolleri; Merismopedia warmingiana","Merismopedia; Merismopedia glauca; Merismopedia punctata; Merismopedia tenuissima","Cyanophyceae","Chroococcaceae","Merismopedia","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,727,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Snowella","Snowella; Snowella fennica; Snowella lacustris; Snowella littoralis","Snowella; Snowella atomus; Snowella lacustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Synechocystis","Synechocystis; Synechocystis aquaticus; Synechocystis aquatilis; Synechocystis endobiotica","Synechocystis","Cyanophyceae","Chroococcaceae","Synechocystis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,799,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Woronichinia","Woronichinia; Woronichinia karelica; Woronichinia naegeliana","Woronichinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
